kod_druhu,druh,druh_cz,SKUPINA,SKUPINA_0,metodika
29353,Barbastella barbastellus,netopır èernı,Letouni,OBRATLOVCI,
31716,Euphydryas aurinia,hnìdásek chrastavcovı,Motıli,BEZOBRATLÍ,
31558,Eriogaster catax,bourovec trnkovı,Motıli,BEZOBRATLÍ,
35516,Asplenium adulterinum,sleziník nepravı,Cévnaté rostliny,ROSTLINY,19192
34943,Stenobothrus eurasius bohemicus,saranèe skalní,Ortopteroidní hmyz,BEZOBRATLÍ,
34779,Ophiogomphus cecilia,klínatka rohatá,Váky,BEZOBRATLÍ,
34986,Cobitis elongatoides,sekavec podunajskı,Ryby a mihule,OBRATLOVCI,
2013,Notothylas orbicularis,vycpálka okrouhlá,Mechorosty,ROSTLINY,
34993,Cottus gobio,vranka obecná,Ryby a mihule,OBRATLOVCI,
35028,Pelecus cultratus,ostrucha køivoèará,Ryby a mihule,OBRATLOVCI,
35058,Zingel streber,drsek menší,Ryby a mihule,OBRATLOVCI,
34421,Spermophilus citellus,sysel obecnı,Savci,OBRATLOVCI,
35886,Campanula bohemica,zvonek èeskı,Cévnaté rostliny,ROSTLINY,19192
34358,Lutra lutra,vydra øíèní,Savci,OBRATLOVCI,
4275,Cerambyx cerdo,tesaøík obrovskı,Brouci,BEZOBRATLÍ,
31638,Colias myrmidone,luásek barvomìnnı,Motıli,BEZOBRATLÍ,
35005,Gymnocephalus baloni,jedík dunajskı,Ryby a mihule,OBRATLOVCI,
39036,Pulsatilla grandis,koniklec velkokvìtı,Cévnaté rostliny,ROSTLINY,19192
40355,Trichomanes speciosum,vláskatec tajemnı,Cévnaté rostliny,ROSTLINY,19192
97896,Phengaris teleius,modrásek oèkovanı,Motıli,BEZOBRATLÍ,
111483,Polyommatus eros,modrásek stepní,Motıli,BEZOBRATLÍ,
29359,Myotis blythii,netopır vıchodní,Letouni,OBRATLOVCI,
31625,Leptidea morsei,bìlásek vıchodní,Motıli,BEZOBRATLÍ,
113940,Stipa glabrata,kavyl olysalı,Cévnaté rostliny,ROSTLINY,19192
