DRUH,ID_IND,TYP_IND,LIM_IND,JEDNOTKA,KLIC,UROVEN,pozn
Cypripedium calceolus,POP_POCET,min,6,trsy,ano,lok,
Cypripedium calceolus,POP_POCETSUM,info,NA,kvetoucí a plodné trsy,NA,lok,
Cypripedium calceolus,POP_POCETSUM,info,NA,sterilní trsy,NA,lok,
Cypripedium calceolus,POP_TREND,max,1,posledních dvou let s menším poètem jedincù než je referenèní hodnota,ano,lok,
Cypripedium calceolus,POP_POCETVITAL,,40,kvetoucí a plodné trsy,NA,lok,
Cypripedium calceolus,POP_VITAL,min,40,% poètu trsù,ano,lok,
Cypripedium calceolus,STA_POKRYVNOSTE1,val,0,NA,ne,lok,
Cypripedium calceolus,STA_POKRYVNOSTE1,val,do 25 %,NA,ne,lok,
Cypripedium calceolus,STA_POKRYVNOSTE1,val,25-50 %,NA,ne,lok,
Cypripedium calceolus,STA_POKRYVNOSTE1,val,50-75 %,NA,ne,lok,
Cypripedium calceolus,STA_POKRYVNOSTINVAZNI,val,0,NA,ne,lok,
Cypripedium calceolus,STA_POKRYVNOSTEXPANZNI,val,0,NA,ne,lok,
Cypripedium calceolus,STA_POKRYVNOSTEXPANZNI,val,do 25 %,NA,ne,lok,
Cypripedium calceolus,STA_POKRYVNOSTE2E3,val,0,NA,ne,lok,
Cypripedium calceolus,STA_POKRYVNOSTE2E3,val,do 25 %,NA,ne,lok,
Cypripedium calceolus,STA_POKRYVNOSTE2E3,val,25-50 %,NA,ne,lok,
Cypripedium calceolus,STA_POKRYVNOSTE2E3,val,50-75 %,NA,ne,lok,
Cypripedium calceolus,POP_POSKPOC,max,2,poèet typù poškození rostlin,ne,lok,
Cypripedium calceolus,POP_POSKPERC,max,1,kategorie relativní poèetnosti,ne,lok,
Cypripedium calceolus,LOK_PROCDOBR,min,50,% lokalit v dobrém stavu,ano,chu,
Liparis loeselii,POP_POCET,min,50,jedinci,ano,lok,
Liparis loeselii,POP_POCETSUM,info,NA,kvetoucí a plodní jedinci,ne,lok,
Liparis loeselii,POP_POCETSUM,info,NA,sterilní jedinci,ne,lok,
Liparis loeselii,POP_TREND,max,1,posledních dvou let s menším poètem jedincù než je referenèní hodnota,ano,lok,
Liparis loeselii,POP_POCETVITAL,info,NA,kvetoucí a plodní jedinci,NA,lok,
Liparis loeselii,POP_VITAL,min,30,% plodných jedincù,ano,lok,
Liparis loeselii,STA_POKRDREV,val,0,NA,ne,lok,
Liparis loeselii,STA_POKRDREV,val,do 25 %,NA,ne,lok,
Liparis loeselii,STA_POKRSTAR,val,0,NA,ne,lok,
Liparis loeselii,STA_POKRSTAR,val,do 25 %,NA,ne,lok,
Liparis loeselii,STA_POKRRAKOS,val,0,NA,ne,lok,
Liparis loeselii,STA_POKRRAKOS,val,do 25 %,NA,ne,lok,
Liparis loeselii,STA_POKRRAKOS,val,25-50 %,NA,ne,lok,
Liparis loeselii,STA_POKRRAKOS,val,50-75 %,NA,ne,lok,
Liparis loeselii,STA_POKRYVNOSTINVAZNI,val,0,NA,ne,lok,
Liparis loeselii,STA_POKRYVNOSTEXPANZNI,val,0,NA,ne,lok,
Liparis loeselii,STA_POKRYVNOSTEXPANZNI,val,do 25 %,NA,ne,lok,
Liparis loeselii,STA_HYDROPOMERY,val,dobré,NA,ne,lok,
Liparis loeselii,STA_HYDROPOMERY,val,zhoršené,NA,ne,lok,
Liparis loeselii,POP_POSKPERC,max,1,kvetoucí a plodní jedinci,ne,lok,
Liparis loeselii,POP_POSKPOC,max,2,poèet poškození,ne,lok,
Liparis loeselii,LOK_PROCDOBR,min,50,% lokalit v dobrém stavu,ano,chu,
Coleanthus subtilis,POP_POCETNOST,min,4,kategorie relativní poèetnosti,ano,lok,
Coleanthus subtilis,POP_TREND,max,1,posledních dvou let s menším poètem jedincù než je referenèní hodnota,ano,lok,
Coleanthus subtilis,POP_REPROUSP,val,0%,NA,ano,lok,
Coleanthus subtilis,POP_REPROUSP,val,do 10 %,NA,ano,lok,
Coleanthus subtilis,POP_REPROUSP,val,11-50 %,NA,ano,lok,
Coleanthus subtilis,STA_POKRDNO,val,51-100 %,NA,ne,lok,
Coleanthus subtilis,STA_POKLESHLAD,val,NA,NA,ne,lok,
Coleanthus subtilis,STA_POKRYVNOSTINVAZNI,val,0,NA,ne,lok,
Coleanthus subtilis,STA_POKRYVNOSTEXPANZNI,val,0,NA,ne,lok,
Coleanthus subtilis,STA_POKRYVNOSTEXPANZNI,val,do 25 %,NA,ne,lok,
Coleanthus subtilis,LOK_PROCDOBR,min,50,% lokalit v dobrém stavu,ano,chu,
Gentianella praecox subsp. bohemica,POP_POCET,min,25,kvetoucí a plodní jedinci,ano,lok,
Gentianella praecox subsp. bohemica,POP_TREND,max,1,posledních dvou let s menším poètem jedincù než je referenèní hodnota,ano,lok,
Gentianella praecox subsp. bohemica,STA_STUPENZACH,val,dobrý,,ne,lok,
Gentianella praecox subsp. bohemica,STA_STUPENZACH,val,støední,,ne,lok,
Gentianella praecox subsp. bohemica,STA_ZAPOJENICELK,val,øídký nezapojený,,ne,lok,
Gentianella praecox subsp. bohemica,STA_ZAPOJENICELK,val,støednì zapojený,,ne,lok,
Gentianella praecox subsp. bohemica,STA_POKRYVNOSTE1,val,0,NA,ne,lok,
Gentianella praecox subsp. bohemica,STA_POKRYVNOSTE1,val,do 25 %,NA,ne,lok,
Gentianella praecox subsp. bohemica,STA_POKRYVNOSTE1,val,25-50 %,NA,ne,lok,
Gentianella praecox subsp. bohemica,STA_POKRYVNOSTE1,val,50-75 %,NA,ne,lok,
Gentianella praecox subsp. bohemica,STA_POKRYVNOSTE0,val,0%,,ne,lok,
Gentianella praecox subsp. bohemica,STA_POKRYVNOSTE0,val,do 5 %,,ne,lok,
Gentianella praecox subsp. bohemica,STA_POKRYVNOSTE0,val,5-25 %,,ne,lok,
Gentianella praecox subsp. bohemica,STA_POKRYVNOSTINVAZNI,val,0%,,ne,lok,
Gentianella praecox subsp. bohemica,STA_POKRYVNOSTINVAZNI,val,do 5 %,,ne,lok,
Gentianella praecox subsp. bohemica,STA_POKRYVNOSTINVAZNI,val,5-25 %,,ne,lok,
Gentianella praecox subsp. bohemica,STA_POKRYVNOSTEXPANZNI,val,0%,,ne,lok,
Gentianella praecox subsp. bohemica,STA_POKRYVNOSTEXPANZNI,val,do 5 %,,ne,lok,
Gentianella praecox subsp. bohemica,STA_POKRYVNOSTEXPANZNI,val,5-25 %,,ne,lok,
Gentianella praecox subsp. bohemica,POP_POSKPERC,max,1,jedinci,ne,lok,
Gentianella praecox subsp. bohemica,LOK_PROCDOBR,min,50,% lokalit v dobrém stavu,ano,chu,
Adenophora liliifolia,POP_TREND,max,1,posledních dvou let s menším poètem jedincù než je referenèní hodnota,ano,lok,
Adenophora liliifolia,POP_POCETVITAL,info,NA,kvetoucí a plodné trsy,NA,lok,
Adenophora liliifolia,POP_VITAL,min,20,% plotných trsù,ano,lok,
Adenophora liliifolia,POP_POCET,min,80,trsù,ano,lok,
Adenophora liliifolia,POP_POCETSUM,info,NA,kvetoucí a plodné trsy,ne,lok,
Adenophora liliifolia,POP_POCETSUM,info,NA,sterilní trsy,ne,lok,
Adenophora liliifolia,POP_POCETSUMLOD,info,NA,kvetoucí a plodné lodyhy,ne,lok,
Adenophora liliifolia,POP_POCETSUMLOD,info,NA,sterilní lodyhy,ne,lok,
Adenophora liliifolia,STA_POKRSTAR,val,0,NA,ne,lok,
Adenophora liliifolia,STA_POKRSTAR,val,do 5 %,NA,ne,lok,
Adenophora liliifolia,STA_POKRSTAR,val,5-25 %,NA,ne,lok,
Adenophora liliifolia,STA_POKRYVNOSTINVAZNI,val,0,NA,ne,lok,
Adenophora liliifolia,STA_POKRYVNOSTINVAZNI,val,do 5 %,NA,ne,lok,
Adenophora liliifolia,STA_POKRYVNOSTEXPANZNI,val,0%,NA,ne,lok,
Adenophora liliifolia,STA_POKRYVNOSTEXPANZNI,val,do 5 %,NA,ne,lok,
Adenophora liliifolia,STA_POKRYVNOSTEXPANZNI,val,5-25 %,NA,ne,lok,
Adenophora liliifolia,STA_POKRYVNOSTE2E3,val,0,NA,ne,lok,
Adenophora liliifolia,STA_POKRYVNOSTE2E3,val,do 5 %,NA,ne,lok,
Adenophora liliifolia,STA_POKRYVNOSTE2E3,val,5-25 %,NA,ne,lok,
Adenophora liliifolia,STA_POKRYVNOSTE2E3,val,25-50 %,NA,ne,lok,
Adenophora liliifolia,POP_POSKPERC,max,2,poèet lodyh,ne,lok,"limit byl do metodiky zmìnìn z 25 na 50 %, což nám sedí do chlívku."
Adenophora liliifolia,LOK_PROCDOBR,min,50,% lokalit v dobrém stavu,ano,chu,
Dianthus arenarius subsp. bohemicus,POP_POCET,min,5000,trsy,ano,lok,
Dianthus arenarius subsp. bohemicus,POP_POCETSUM,info,NA,kvetoucí a plodné trsy,ne,lok,
Dianthus arenarius subsp. bohemicus,POP_POCETSUM,info,NA,sterilní trsy,ne,lok,
Dianthus arenarius subsp. bohemicus,POP_TREND,max,1,posledních dvou let s menším poètem jedincù než je referenèní hodnota,ano,lok,
Dianthus arenarius subsp. bohemicus,POP_POCETVITAL,info,NA,kvetoucí a plodné trsy,NA,lok,
Dianthus arenarius subsp. bohemicus,POP_VITAL,min,30,% plodných trsù,ano,lok,
Dianthus arenarius subsp. bohemicus,POP_POCETVITAL,info,NA,kvetoucí a plodné trsy,ano,lok,
Dianthus arenarius subsp. bohemicus,STA_POKRDREV,val,0,NA,ne,lok,
Dianthus arenarius subsp. bohemicus,STA_POKRDREV,val,do 5 %,NA,ne,lok,
Dianthus arenarius subsp. bohemicus,STA_POKRYVNOSTE1,val,0,NA,ne,lok,
Dianthus arenarius subsp. bohemicus,STA_POKRYVNOSTE1,val,do 5 %,NA,ne,lok,
Dianthus arenarius subsp. bohemicus,STA_POKRYVNOSTE1,val,5-25 %,NA,ne,lok,
Dianthus arenarius subsp. bohemicus,STA_POKRYVNOSTE0,val,0,,ne,lok,
Dianthus arenarius subsp. bohemicus,STA_POKRYVNOSTE0,val,do 5 %,,ne,lok,
Dianthus arenarius subsp. bohemicus,STA_POKRYVNOSTE0,val,5-25 %,,ne,lok,
Dianthus arenarius subsp. bohemicus,STA_POKRSTAR,val,0,NA,ne,lok,
Dianthus arenarius subsp. bohemicus,STA_POKRSTAR,val,do 5 %,,ne,lok,
Dianthus arenarius subsp. bohemicus,STA_POKRSTAR,val,5-25 %,NA,ne,lok,
Dianthus arenarius subsp. bohemicus,STA_POKRPUDA,val,5-25 %,,ne,lok,
Dianthus arenarius subsp. bohemicus,STA_POKRPUDA,val,25-50 %,,ne,lok,
Dianthus arenarius subsp. bohemicus,STA_POKRPUDA,val,50-75 %,,ne,lok,
Dianthus arenarius subsp. bohemicus,STA_POKRPUDA,val,75-100,,ne,lok,
Dianthus arenarius subsp. bohemicus,STA_POKRYVNOSTINVAZNI,val,0,,ne,lok,
Dianthus arenarius subsp. bohemicus,STA_POKRYVNOSTINVAZNI,val,do 5 %,,ne,lok,
Dianthus arenarius subsp. bohemicus,STA_POKRYVNOSTEXPANZNI,val,0,,ne,lok,
Dianthus arenarius subsp. bohemicus,STA_POKRYVNOSTEXPANZNI,val,do 5 %,,ne,lok,
Dianthus arenarius subsp. bohemicus,STA_POKRYVNOSTEXPANZNI,val,5-25 %,,ne,lok,
Dianthus arenarius subsp. bohemicus,POP_POSKPERC,max,1,poèet trsù,ne,lok,
Dianthus arenarius subsp. bohemicus,POP_POSKPOC,max,2,poèet typù poškození rostlin,ne,lok,
Dianthus arenarius subsp. bohemicus,LOK_PROCDOBR,min,50,% lokalit v dobrém stavu,ano,chu,
