DRUH;ID_IND;TYP_IND;LIM_IND;JEDNOTKA;KLIC;UROVEN
Cobitis elongatoides;POP_DYN;min;50;;ano;lok
Cobitis elongatoides;POP_PRESENCE;val;ano;pøítomnost druhu;ano;lok
Cobitis elongatoides;POP_VITALITA;min;2;;ano;lok
Cobitis elongatoides;STA_DNOPOCETTYPU;min;1;NA;ne;lok
Cobitis elongatoides;STA_DNOTYP;val;bahno;NA;ne;lok
Cobitis elongatoides;STA_DNOTYP;val;písek;NA;ne;lok
Cobitis elongatoides;STA_POCETTYPU;min;1;NA;ne;lok
Cobitis elongatoides;STA_PROUD;val;mírný;NA;ne;lok
Cobitis elongatoides;STA_PROUD;val;tùnì;NA;ne;lok
Cobitis elongatoides;STA_VEGETACE;val;submerzní;NA;ne;lok
Cobitis elongatoides;POP_POCET;info;NA;jedinci;NA;lok
Cottus gobio;POP_DYN;min;50;%;ano;lok
Cottus gobio;POP_PRESENCE;val;ano;pøítomnost druhu;ano;lok
Cottus gobio;POP_VITALITA;min;3;;ano;lok
Cottus gobio;STA_DNO;val;balvany;NA;ne;lok
Cottus gobio;STA_DNO;val;kameny;NA;ne;lok
Cottus gobio;STA_DNO;val;štìrk;NA;ne;lok
Cottus gobio;STA_DNOPOCET;min;3;;ne;lok
Cottus gobio;STA_DNOPREF;val;kameny;;ne;lok
Cottus gobio;STA_DNOPREF;val;písek;;ne;lok
Cottus gobio;STA_DNOPREF;val;štìrk;;ne;lok
Cottus gobio;STA_DNOTYPSOUCETPROCENT;min;50;%;ne;lok
Cottus gobio;STA_PROUD;val;mírný;NA;ne;lok
Cottus gobio;STA_PROUD;val;peøeje;NA;ne;lok
Cottus gobio;STA_PROUD;val;tùnì;NA;ne;lok
Cottus gobio;STA_PROUDPOCETTYPU;min;2;NA;ne;lok
Cottus gobio;POP_POCET;info;NA;jedinci;NA;lok
Eudontomyzon mariae;POP_DYN;min;50;%;ano;lok
Eudontomyzon mariae;POP_PRESENCE;val;ano;pøítomnost druhu;ano;lok
Eudontomyzon mariae;POP_VITALITA;min;3;kategorie;ano;lok
Eudontomyzon mariae;STA_ODHADCELKOVEPLOCHYJEMNYCHNAPLAVUVHODNYCHPROVYVOJLAREV;min;10;m2;ne;lok
Eudontomyzon mariae;STA_ODHADCELKOVEPLOCHYPROUDNYCHUSEKUSESTERKOPISKOVYMDNEMVHODNYCHPROTRENI;min;10;m2;ne;lok
Eudontomyzon mariae;POP_POCET;info;NA;jedinci;NA;lok
Eudontomyzon mariae;POP_POCET;info;NA;larvy;NA;lok
