SITECODE,HABITAT_CODE,ID_IND,TYP_IND,LIM_IND,ZDROJ,rowname
CZ0110040,6190,ROZLOHA,min,2.25,VMB2,1
CZ0110040,6210,ROZLOHA,min,2.04,VMB2,2
CZ0110040,9170,ROZLOHA,min,29.85,VMB2,3
CZ0110040,9180,ROZLOHA,min,12.01,VMB2,4
CZ0110049,4030,ROZLOHA,min,1.46,VMB2,5
CZ0110050,6110,ROZLOHA,min,0.16,VMB2,6
CZ0110050,6190,ROZLOHA,min,17.37,VMB2,7
CZ0110050,6210,ROZLOHA,min,22.49,VMB2,8
CZ0110050,9180,ROZLOHA,min,14.41,VMB2,9
CZ0110142,6410,ROZLOHA,min,1.45,VMB2,10
CZ0110142,9170,ROZLOHA,min,29.3,VMB2,11
CZ0110142,9190,ROZLOHA,min,88.36,VMB2,12
CZ0110154,40A0,ROZLOHA,min,5.05,VMB2,13
CZ0110154,6190,ROZLOHA,min,8.44,VMB2,14
CZ0110154,6210,ROZLOHA,min,4.24,VMB2,15
CZ0110154,8220,ROZLOHA,min,3.23,VMB2,16
CZ0110154,8230,ROZLOHA,min,2.48,VMB2,17
CZ0114001,6190,ROZLOHA,min,2.1,VMB2,18
CZ0114001,6210,ROZLOHA,min,5.65,VMB2,19
CZ0114001,9170,ROZLOHA,min,49.64,VMB2,20
CZ0114001,9180,ROZLOHA,min,8,MINIMI,21
CZ0114001,91H0,ROZLOHA,min,11.03,VMB2,22
CZ0210003,7140,ROZLOHA,min,2.71,VMB2,23
CZ0210008,7230,ROZLOHA,min,0.71,SDF,24
CZ0210008,91F0,ROZLOHA,min,31.65,VMB2,25
CZ0210010,6210,ROZLOHA,min,9.82,SDF,26
CZ0210010,9170,ROZLOHA,min,57.53,SDF,27
CZ0210010,91I0,ROZLOHA,min,15,MINIMI,28
CZ0210011,5130,ROZLOHA,min,1.35,MINIMI,29
CZ0210011,6210,ROZLOHA,min,2.27,VMB2,30
CZ0210011,9170,ROZLOHA,min,11.98,VMB2,31
CZ0210022,6210,ROZLOHA,min,2.21,SDF,32
CZ0210022,9170,ROZLOHA,min,119.59,SDF,33
CZ0210022,9190,ROZLOHA,min,23.55,SDF,34
CZ0210023,6510,ROZLOHA,min,4.46,VMB2,35
CZ0210027,3130,ROZLOHA,min,0.34,SDF,36
CZ0210027,9110,ROZLOHA,min,175.33,VMB2,37
CZ0210027,9130,ROZLOHA,min,25.84,VMB2,38
CZ0210028,6190,ROZLOHA,min,0.65,SDF,39
CZ0210028,9130,ROZLOHA,min,100.39,SDF,40
CZ0210028,9180,ROZLOHA,min,30.07,VMB2,41
CZ0210029,6210,ROZLOHA,min,10.11,VMB2,42
CZ0210034,7210,ROZLOHA,min,2.36,VMB2,43
CZ0210043,9110,ROZLOHA,min,35.06,VMB2,44
CZ0210043,9180,ROZLOHA,min,34.17,VMB2,45
CZ0210044,6210,ROZLOHA,min,0.4,VMB2,46
CZ0210044,6210p,ROZLOHA,min,1.25,VMB2,47
CZ0210044,8230,ROZLOHA,min,0.09,SDF,48
CZ0210047,8220,ROZLOHA,min,4.98,VMB2,49
CZ0210047,9110,ROZLOHA,min,60.65,VMB2,50
CZ0210047,9180,ROZLOHA,min,6.97,VMB2,51
CZ0210053,4030,ROZLOHA,min,0.62,VMB2,52
CZ0210053,6190,ROZLOHA,min,4.68,SDF,53
CZ0210053,8150,ROZLOHA,min,0.39,VMB2,54
CZ0210053,8220,ROZLOHA,min,13.69,VMB2,55
CZ0210053,9170,ROZLOHA,min,53.16,VMB2,56
CZ0210053,9180,ROZLOHA,min,77.18,VMB2,57
CZ0210054,4030,ROZLOHA,min,93.1,VMB2,58
CZ0210054,7110,ROZLOHA,min,15.08,VMB2,59
CZ0210054,7140,ROZLOHA,min,21.48,VMB2,60
CZ0210054,8220,ROZLOHA,min,0.36,VMB2,61
CZ0210056,6410,ROZLOHA,min,3.84,SDF,62
CZ0210056,6430,ROZLOHA,min,2.04,SDF,63
CZ0210056,6510,ROZLOHA,min,2.52,VMB2,64
CZ0210058,6230,ROZLOHA,min,3,MINIMI,65
CZ0210058,6410,ROZLOHA,min,6.57,SDF,66
CZ0210058,6430,ROZLOHA,min,2,MINIMI,67
CZ0210058,6510,ROZLOHA,min,3.58,VMB2,68
CZ0210062,6230,ROZLOHA,min,3,MINIMI,69
CZ0210062,6410,ROZLOHA,min,4.38,VMB2,70
CZ0210062,6430,ROZLOHA,min,2,MINIMI,71
CZ0210062,6510,ROZLOHA,min,22.69,VMB2,72
CZ0210064,2330,ROZLOHA,min,0.59,VMB2,73
CZ0210066,6210,ROZLOHA,min,7.77,SDF,74
CZ0210100,7220,ROZLOHA,min,0.15,VMB2,75
CZ0210100,9150,ROZLOHA,min,48.04,VMB2,76
CZ0210100,9.10E+01,ROZLOHA,min,5.71,VMB2,77
CZ0210101,3130,ROZLOHA,min,1.08,SDF,78
CZ0210101,3150,ROZLOHA,min,2.57,SDF,79
CZ0210101,6410,ROZLOHA,min,42.07,SDF,80
CZ0210101,6510,ROZLOHA,min,38.9,VMB2,81
CZ0210101,7230,ROZLOHA,min,0.71,VMB2,82
CZ0210101,9170,ROZLOHA,min,2311.07,VMB2,83
CZ0210101,9190,ROZLOHA,min,312.83,VMB2,84
CZ0210101,9.10E+01,ROZLOHA,min,11.11,VMB2,85
CZ0210101,91H0,ROZLOHA,min,42.39,SDF,86
CZ0210101,91I0,ROZLOHA,min,13.69,VMB2,87
CZ0210105,7220,ROZLOHA,min,0.5,SDF,88
CZ0210105,9130,ROZLOHA,min,94.8,VMB2,89
CZ0210105,9150,ROZLOHA,min,9.1,VMB2,90
CZ0210105,9180,ROZLOHA,min,12.97,VMB2,91
CZ0210107,9150,ROZLOHA,min,6.8,VMB2,92
CZ0210107,9180,ROZLOHA,min,6.42,VMB2,93
CZ0210107,91I0,ROZLOHA,min,12.74,VMB2,94
CZ0210109,6210,ROZLOHA,min,22.75,VMB2,95
CZ0210109,6410,ROZLOHA,min,9.18,VMB2,96
CZ0210109,9170,ROZLOHA,min,88.41,VMB2,97
CZ0210111,6210,ROZLOHA,min,1.12,SDF,98
CZ0210111,91U0,ROZLOHA,min,15.83,VMB2,99
CZ0210113,6410,ROZLOHA,min,2.91,VMB2,100
CZ0210113,6510,ROZLOHA,min,11.26,VMB2,101
CZ0210113,7230,ROZLOHA,min,2.7,VMB2,102
CZ0210114,2330,ROZLOHA,min,4.68,VMB2,103
CZ0210114,4030,ROZLOHA,min,2.8,VMB2,104
CZ0210114,6210,ROZLOHA,min,17.3,VMB2,105
CZ0210114,8210,ROZLOHA,min,0.37,VMB2,106
CZ0210118,3140,ROZLOHA,min,NA,NA,107
CZ0210118,6430,ROZLOHA,min,2,MINIMI,108
CZ0210118,7230,ROZLOHA,min,0.79,VMB2,109
CZ0210150,7220,ROZLOHA,min,0.68,VMB2,110
CZ0210150,9170,ROZLOHA,min,50.32,VMB2,111
CZ0210152,2330,ROZLOHA,min,0.5,MINIMI,112
CZ0210152,3150,ROZLOHA,min,30.63,SDF,113
CZ0210152,6410,ROZLOHA,min,4.9,SDF,114
CZ0210152,6430,ROZLOHA,min,2.92,VMB2,115
CZ0210152,6440,ROZLOHA,min,26.62,SDF,116
CZ0210152,6510,ROZLOHA,min,48.26,SDF,117
CZ0210152,7210,ROZLOHA,min,0.73,SDF,118
CZ0210152,7230,ROZLOHA,min,0.23,SDF,119
CZ0210152,9.10E+01,ROZLOHA,min,8,MINIMI,120
CZ0210152,91F0,ROZLOHA,min,117.23,VMB2,121
CZ0210153,40A0,ROZLOHA,min,0.27,VMB2,122
CZ0210153,6190,ROZLOHA,min,2.56,VMB2,123
CZ0210153,8220,ROZLOHA,min,1.95,VMB2,124
CZ0210153,9170,ROZLOHA,min,13.24,VMB2,125
CZ0210153,9180,ROZLOHA,min,11.1,VMB2,126
CZ0210172,3140,ROZLOHA,min,NA,NA,127
CZ0210172,6210,ROZLOHA,min,2.89,SDF,128
CZ0210172,6410,ROZLOHA,min,5.4,SDF,129
CZ0210172,7210,ROZLOHA,min,0.5,MINIMI,130
CZ0210172,7230,ROZLOHA,min,8.16,SDF,131
CZ0210173,1340,ROZLOHA,min,0.72,VMB2,132
CZ0210175,9170,ROZLOHA,min,480.7,VMB2,133
CZ0210175,9190,ROZLOHA,min,200.89,SDF,134
CZ0210175,91I0,ROZLOHA,min,16.23,SDF,135
CZ0210186,3150,ROZLOHA,min,13.36,VMB2,136
CZ0210186,6430,ROZLOHA,min,1.6,VMB2,137
CZ0210186,6440,ROZLOHA,min,48.91,VMB2,138
CZ0210186,6510,ROZLOHA,min,41.16,VMB2,139
CZ0210186,9.10E+01,ROZLOHA,min,17.62,VMB2,140
CZ0210186,91F0,ROZLOHA,min,484.4,VMB2,141
CZ0210409,6190,ROZLOHA,min,0.5,MINIMI,142
CZ0210409,8160,ROZLOHA,min,0.2,MINIMI,143
CZ0210409,9170,ROZLOHA,min,10.79,SDF,144
CZ0210409,9180,ROZLOHA,min,8,MINIMI,145
CZ0210409,91H0,ROZLOHA,min,7.47,VMB2,146
CZ0210421,9170,ROZLOHA,min,104.04,VMB2,147
CZ0210421,91H0,ROZLOHA,min,5.89,VMB2,148
CZ0210704,40A0,ROZLOHA,min,0.21,VMB2,149
CZ0210704,6190,ROZLOHA,min,1.07,VMB2,150
CZ0210708,40A0,ROZLOHA,min,0.19,VMB2,151
CZ0210708,6190,ROZLOHA,min,1.52,VMB2,152
CZ0210708,8160,ROZLOHA,min,0.18,VMB2,153
CZ0210708,9130,ROZLOHA,min,27.79,VMB2,154
CZ0210708,9170,ROZLOHA,min,20.71,VMB2,155
CZ0210708,9180,ROZLOHA,min,29.86,VMB2,156
CZ0210713,6210,ROZLOHA,min,7.48,VMB2,157
CZ0210713,6510,ROZLOHA,min,4.19,VMB2,158
CZ0210714,3150,ROZLOHA,min,9.85,VMB2,159
CZ0210714,9.10E+01,ROZLOHA,min,8,MINIMI,160
CZ0210714,91F0,ROZLOHA,min,21.73,VMB2,161
CZ0210719,7220,ROZLOHA,min,0.38,VMB2,162
CZ0210720,3140,ROZLOHA,min,NA,NA,163
CZ0210720,7230,ROZLOHA,min,0.66,VMB2,164
CZ0210721,7220,ROZLOHA,min,0.34,VMB2,165
CZ0210726,91U0,ROZLOHA,min,3.13,VMB2,166
CZ0210729,4030,ROZLOHA,min,1.09,VMB2,167
CZ0210729,6110,ROZLOHA,min,0.47,VMB2,168
CZ0210729,6190,ROZLOHA,min,4.21,VMB2,169
CZ0210729,6210,ROZLOHA,min,1.29,VMB2,170
CZ0210729,8220,ROZLOHA,min,0.95,VMB2,171
