DRUH,ID_IND,TYP_IND,LIM_IND,JEDNOTKA,KLIC,UROVEN
stanoviste,EXPANSIVE,,NA,%,ne,lok
stanoviste,EXPANSIVE_LIST,,NA,NA,ne,lok
stanoviste,INVASIVE,,NA,%,ne,lok
stanoviste,INVASIVE_LIST,,NA,NA,ne,lok
stanoviste,KALAMITA_POLOM,,NA,kategorie,ne,lok
stanoviste,KVALITA,,NA,kategorie,ne,lok
Epidalea calamita,LOK_POCETDOBR,NA,NA,poèet dílèích lokalit,ne,chu
Epidalea calamita,LOK_POCETDOBR,NA,NA,poèet dílèích lokalit,ne,chu
stanoviste,MINIMIAREAL,,NA,%,ne,lok
stanoviste,MINIMIAREAL_HODNOTA,,NA,m2,ne,lok
stanoviste,MINIMIAREAL_JADRA,,NA,poèet segmentù,ne,lok
stanoviste,MOZAIKA_FIN,,NA,%,ne,lok
stanoviste,MOZAIKA_VNEJSI,,NA,%,ne,lok
stanoviste,MOZAIKA_VNITRNI,,NA,%,ne,lok
stanoviste,MRTVE_DREVO,,NA,kategorie,ne,lok
Barbastella barbastellus,POP_DIFLET,min,0.67,podíl letní abundance k referenèní letní abundanci,ano,chu
Barbastella barbastellus,POP_DIFLET,min,0.67,podíl letní abundance k referenèní letní abundanci,ano,lok
Myotis bechsteinii,POP_DIFLET,min,0.5,podíl letní abundance k referenèní letní abundanci,ano,chu
Myotis bechsteinii,POP_DIFLET,min,0.5,podíl letní abundance k referenèní letní abundanci,ano,lok
Myotis emarginatus,POP_DIFLET,min,0.5,podíl letní abundance k referenèní letní abundanci,ano,chu
Myotis emarginatus,POP_DIFLET,min,0.5,podíl letní abundance k referenèní letní abundanci,ano,lok
Myotis myotis,POP_DIFLET,min,0.5,podíl letní abundance k referenèní letní abundanci,ano,chu
Myotis myotis,POP_DIFLET,min,0.5,podíl letní abundance k referenèní letní abundanci,ano,lok
Rhinolophus hipposideros,POP_DIFLET,min,0.5,podíl letní abundance k referenèní letní abundanci,ano,chu
Rhinolophus hipposideros,POP_DIFLET,min,0.5,podíl letní abundance k referenèní letní abundanci,ano,lok
Barbastella barbastellus,POP_DIFZIM,min,0.67,podíl zimní abundance k referenèní zimní abundanci,ano,chu
