ID_ND_NALEZ,IDX_ND_AKCE,DRUH,CESKE_JME,AUTOR,DATUM_OD,DATUM_DO,IDX_ND_LOK,LOKALITA,KOD_LOKALITY,ZDROJ,POCET,ODHAD,POCITANO,REL_POC,POKRYVN,POZNAMKA,POZN_LOK,POZN_BIO,POZN_TAX,PROJEKT,DAT_SADA,GARANCE,POZN_GAR,VALIDACE,POZN_VAL,VYHLASKA,EVD,REDLIST,STRUKT_POZN,X,Y,PRESNOST,SKUPINA,EVL,PROC_EVL,NEGATIVNI,IDX_ND_LOKALIZACE,MAX_PROC,POLE,DATUM,DEN,MESIC,ROK,kod_chu,nazev_chu,KOD_LOKAL,CILMON,POCITANO_CLEAN,POP_PRESENCE_N,POP_PRESENCE,POP_POCET,POP_RELPOC,POP_POCETSUM_PART,POP_POCETSUM,POP_PLOCHA,POP_REPRO,POP_REPRONUM,POP_POCETNOSTNAL,POP_PASTIPOCET,POP_PLOCHALOV,POP_ABUNDANCENAL,POP_CILJEDNOTKA,POP_KOEFICIENT,vliv1,vliv2,VLV_VLIVY,VLV_VLIVY_NUM,STA_SECCAS,STA_SECMET,STA_PRITOMNOSTROSTLIN,STA_JASANOKOLI,STA_MIKRPROSTLINA,STA_VHSTROMN,STA_VHSTROMK,STA_PERSPEKTIVA,STA_MRTDREVO,STA_TEKVODA,STA_POKRYVNOSTDREVIN,STA_ZAZEMNENI,STA_SKLADREVO,STA_LITVEGET,STA_SIRKALIT,STA_ZASTIN,STA_MAN,STA_LIKVIDACE,STA_STAVVODARYBNIK,STA_STAVVODALITORAL,STA_STAVVODATUNE,STA_STAVVODA,STA_STAVVODAKAT,STA_VYSYCHANI,STA_VODAMANIPULACE,STA_ZTRATABIO,STA_KACHNAPRITOMNOST,STA_RYBY,STA_ZOOPLANKTON,STA_POKRVEGETACE,STA_PRUHLEDNOSTVODA,STA_PRUHLEDNOSTVODAT,STA_UHYNOBOJZIVELNIK,STA_ZASTINENIHLADINA,STA_ZASTINENILITORAL,POP_DELKYJEDINCI,STA_MIGBARPOCET,STA_MIGBARVYS,POP_SCALP,POP_POBYT,POP_PRESENCE_ZIMNI,POP_PRESENCE_LETNI,POP_POCETMIKROLOK,POP_TRENDBRY,POP_ZMENABRY1,POP_ZMENABRY2,POP_PLOCHAPOP,STA_DREVOBRY,STA_STRUKTVEKBRY,STA_STRUKTDRUBRY,POP_POCETLODYH,POP_POCETVITAL,STA_MANPOTREBAVLIV,STA_MANPOTREBA,STA_MANVLIV,STA_POKRYVNOSTINVAZNI,STA_POKRYVNOSTEXPANZNI,STA_POKRSTAR,STA_POKRDREV,STA_POKRDREVNIZ,STA_POKRYVNOSTE2E3,STA_POKRYVNOSTE1,STA_POKRYVNOSTE0,STA_POKRYVNOSTVOLNAPUDA,STA_ZAPOJENICELK,STA_ZAPOJENIKAT,STA_STUPENZACH,STA_HYDRPOMERY,STA_VLHPOM,STA_ZASTINENICELK,SP_POSKOZENI_ROSTLIN,POSKOZENI_ROSTLIN,POSKOZENI_ROSTLIN_KAT,POP_POCETKONCPAST,POP_POCETMIN.x,POP_POCETMAX.x,POP_POCETPRUM,POP_POCETLODYHSUM,POP_POCETPLOD,POP_VITAL,POP_POCETFIN,POP_POSKPOC,POCET_POSKOZENYCH,POCET_POSKOZENYCHSUM,PROCENTO_POSKOZENYCH,POSKOZENI_KAT,POSKOZENI_LODYHKAT,POP_POSKPERC,STA_ZAPOJENIDRN,POP_DELKYJEDINCINUM,POP_DELKYJEDINCIKAT,LIMIT,JEDNOTKA,CELKOVE,POP_POCETSUMLOKAL,POP_POCETMIN.y,POP_POCETMAX.y,POP_POCETNOST,POP_POCETNOSTMAX.x,POP_REPROMAX,STA_VYSYCHMAX,STA_STAVVODAKAT1,STA_STAVVODAKAT2,POP_VITALITA_N_CATS,POP_VITALITA,POP_ABUNDANCE,POP_POCETZIM,POP_POCETZIM1,POP_POCETZIM2,POP_POCETZIM3,POP_POCETZIMREF,POP_VITALZIM,POP_POCETLETS1,POP_POCETLETS2,POP_POCETLET,POP_POCETLET1,POP_POCETLET2,POP_POCETLET3,POP_POCETLETREF,POP_VITALLET,POP_REPROCHI,POP_POCETMAXREF,POP_TREND1,POP_TREND2,POP_TREND,POP_TRENDLM,POP_ABUNDANCEMEAN,POP_POCETNOSTMAX.y,POP_REPROPERIOD3,STA_VYSYCHANIPERIOD3,POP_ABUNDANCEREF,POP_DYN,POP_POCETSTRED,POP_POCETNMIN,POP_POCETNMAX
52863912,11919366,Rhinolophus hipposideros,vrápenec malý,Buřič Zdeněk#Kašpar Miroslav,05.03.2022,05.03.2022,8521992,Tvarožné díry,NA,Česká společnost pro ochranu netopýrů (2022) Monitoring letounů. Data z letních kolonií a zimovišť.,1,0,jedinci,NA,NA,NA,NA,NA,NA,Sběr floristických a faunistických nálezů,Nálezová data ochrany přírody,garantováno - věrohodný záznam,NA,NA,NA,KO,HD II a IV,VU,NA,-569899,-1053115,50,Letouni,CZ0530146: Králický Sněžník,100,0,8521992,100,5867a,2022-03-05,5,3,2022,CZ0530146,Králický Sněžník,Tvarožné díry,0,jedinci,1,ano,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ne,ne,NA,ne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ne,ne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,Inf,0,NA,NA,NA,NA,NA,NA,0,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,0,1,1,2,0,NA,-Inf,0,0,NA,NA,NA,NA,NA
32563776,8905142,Rhinolophus hipposideros,vrápenec malý,Horáček Daniel,23.07.2013,23.07.2013,5378056,Lemberk,NA,Česká společnost pro ochranu netopýrů (2012) Monitoring a mapování EVD (2012-2015)-H80.,72,0,samice,NA,NA,NA,NA,NA,NA,Sběr floristických a faunistických nálezů,ND - Česká společnost pro ochranu netopýrů,garantováno - věrohodný záznam,NA,NA,NA,KO,HD II a IV,VU,NA,-706724,-970429,50,Letouni,CZ0513662: Lemberk - zámek,100,0,5378056,100,5254b,2013-07-23,23,7,2013,CZ0513662,Lemberk - zámek,Lemberk,0,samice,1,ano,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ne,ne,NA,ne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ne,ne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,Inf,0,NA,NA,NA,NA,NA,NA,0,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,0,1,1,2,-0,NA,-Inf,0,0,NA,NA,NA,NA,NA
32533782,8898790,Rhinolophus hipposideros,vrápenec malý,Benda Pavel,10.12.2012,10.12.2012,5061293,kaňon Labe,359,Česká společnost pro ochranu netopýrů (2012) Monitoring a mapování EVD (2012-2015)-H80.,53,0,jedinci,NA,NA,NA,NA,NA,NA,Sběr floristických a faunistických nálezů,ND - Česká společnost pro ochranu netopýrů,garantováno - věrohodný záznam,NA,NA,NA,KO,HD II a IV,VU,NA,-745344,-960051,50,Letouni,CZ0424111: Labské údolí,100,0,5061293,100,5151c,2012-12-10,10,12,2012,CZ0424111,Labské údolí,kaňon Labe,0,jedinci,1,ano,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ne,ne,NA,ne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ne,ne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,Inf,0,NA,NA,NA,NA,NA,NA,0,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,0,1,1,2,-0,NA,-Inf,0,0,NA,NA,NA,NA,NA
34626671,9371353,Rhinolophus hipposideros,vrápenec malý,Veselý Jaroslav#Dobešová Světlana#Sedláček Daniel,10.07.2014,10.07.2014,5668076,"Sv.Jan p.Skalou, půda kláštera",NA,"VESELÝ J. (2014) Monitoring netopýrů. Monitoring druhů ČR. AOPK ČR, Praha.",2,0,jedinci,NA,NA,"Jeden vrápenec zaznamenaný v letu a druhý odchycen do ruky, když byl zavěšen ve výklenku, Jednalo se o adultního samce, vše nafoceno,",NA,"při rekonstrukci došlo k instalování průhledných vikýřů a tudíž došlo k prosvětlení celé lokality,",NA,Monitoring druhů ČR,Monitoring druhů ČR,garantováno - věrohodný záznam,NA,NA,NA,KO,HD II a IV,VU,NA,-764980,-1053186,50,Letouni,CZ0214017: Karlštejn - Koda,100,0,5668076,100,6050b,2014-07-10,10,7,2014,CZ0214017,Karlštejn - Koda,"Sv.Jan p.Skalou, půda kláštera",1,jedinci,1,ano,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nezaznamenána,NA,NA,NA,NA,NA,NA,ne,ne,NA,ne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ne,ne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,Inf,0,NA,NA,NA,NA,NA,NA,0,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,0,1,1,2,-0,NA,-Inf,0,0,NA,NA,NA,NA,NA
32543085,8900659,Rhinolophus hipposideros,vrápenec malý,Horáček Daniel,06.01.2013,06.01.2013,5068320,Hrubá Skála - zámek,227,Česká společnost pro ochranu netopýrů (2012) Monitoring a mapování EVD (2012-2015)-H80.,157,0,jedinci,NA,NA,NA,NA,NA,NA,Sběr floristických a faunistických nálezů,ND - Česká společnost pro ochranu netopýrů,garantováno - věrohodný záznam,NA,NA,NA,KO,HD II a IV,VU,NA,-681502,-999760,50,Letouni,CZ0514113: Podtrosecká údolí,100,0,5068320,100,5457c,2013-01-06,6,1,2013,CZ0514113,Podtrosecká údolí,Hrubá Skála - zámek,0,jedinci,1,ano,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ne,ne,NA,ne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ne,ne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,Inf,0,NA,NA,NA,NA,NA,NA,0,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,0,1,1,2,-0,NA,-Inf,0,0,NA,NA,NA,NA,NA
36107366,9544795,Rhinolophus hipposideros,vrápenec malý,Horáček Daniel,11.01.2015,11.01.2015,1215130,EVL Staré Hrady - zámek,CZ0523682,Česká společnost pro ochranu netopýrů (2012) Monitoring a mapování EVD (2012-2015)-H80.,60,0,jedinci,NA,NA,NA,NA,NA,NA,Sběr floristických a faunistických nálezů,ČESON: Data z letních kolonií a zimovišť z roku 2015,garantováno - věrohodný záznam,NA,NA,NA,KO,HD II a IV,VU,NA,-682418,-1017463,100,Letouni,CZ0523682: Staré Hrady - zámek,100,0,1215130,100,5657a,2015-01-11,11,1,2015,CZ0523682,Staré Hrady - zámek,EVL Staré Hrady - zámek,0,jedinci,1,ano,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ne,ne,NA,ne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ne,ne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,Inf,0,NA,NA,NA,NA,NA,NA,0,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,0,1,1,2,-0,NA,-Inf,0,0,NA,NA,NA,NA,NA
39228978,9807780,Rhinolophus hipposideros,vrápenec malý,Šafář Jiří,30.01.2016,30.01.2016,5061838,Jeskyně Na Pomezí - Liščí díra - Rumový dóm,760,Česká společnost pro ochranu netopýrů (2016) Monitoring letounů na území ČR.,900,0,jedinci,NA,NA,NA,NA,NA,NA,Sběr floristických a faunistických nálezů,ČESON: Data z letních kolonií a zimovišť z roku 2016,garantováno - věrohodný záznam,NA,NA,NA,KO,HD II a IV,VU,NA,-548199,-1048334,50,Letouni,CZ0714086: Rychlebské hory - Sokolský hřbet,100,0,5061838,100,5768d,2016-01-30,30,1,2016,CZ0714086,Rychlebské hory - Sokolský hřbet,Jeskyně Na Pomezí - Liščí díra - Rumový dóm,0,jedinci,1,ano,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ne,ne,NA,ne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ne,ne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,Inf,0,NA,NA,NA,NA,NA,NA,0,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,0,1,1,2,-0,NA,-Inf,0,0,NA,NA,NA,NA,NA
32527489,8897965,Rhinolophus hipposideros,vrápenec malý,Bartonička Tomáš,20.01.2013,20.01.2013,5067138,Velká Střelná - Úpadní štola,NA,Česká společnost pro ochranu netopýrů (2012) Monitoring a mapování EVD (2012-2015)-H80.,9,0,jedinci,NA,NA,NA,NA,NA,NA,Sběr floristických a faunistických nálezů,ND - Česká společnost pro ochranu netopýrů,garantováno - věrohodný záznam,NA,NA,NA,KO,HD II a IV,VU,NA,-532021,-1114325,50,Letouni,CZ0714133: Libavá,100,0,5067138,100,6370b,2013-01-20,20,1,2013,CZ0714133,Libavá,Velká Střelná - Úpadní štola,0,jedinci,1,ano,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ne,ne,NA,ne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ne,ne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,Inf,0,NA,NA,NA,NA,NA,NA,0,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,0,1,1,2,-0,NA,-Inf,0,0,NA,NA,NA,NA,NA
43421521,10087788,Rhinolophus hipposideros,vrápenec malý,Horáček Daniel,21.07.2017,21.07.2017,5378076,Hrubá Skála,NA,Česká společnost pro ochranu netopýrů (2017) Monitoring letounů - 2017.,1,0,samice,NA,NA,NA,NA,NA,NA,Sběr floristických a faunistických nálezů,ČESON: Data z letních kolonií a zimovišť z roku 2017,garantováno - věrohodný záznam,NA,NA,NA,KO,HD II a IV,VU,NA,-681389,-999998,50,Letouni,CZ0514113: Podtrosecká údolí,100,0,5378076,100,5457c,2017-07-21,21,7,2017,CZ0514113,Podtrosecká údolí,Hrubá Skála,0,samice,1,ano,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ne,ne,NA,ne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ne,ne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,Inf,0,NA,NA,NA,NA,NA,NA,0,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,0,1,1,2,-0,NA,-Inf,0,0,NA,NA,NA,NA,NA
45648918,10403363,Rhinolophus hipposideros,vrápenec malý,Hanzal Vladimír#Kovář Roman#Bradáč Kryštof,27.10.2018,27.10.2018,5901649,Malá Amerika,NA,"Veselý J., Hanzal V., Sedláček D., Bradáč K., Kovář R. a Průcha M. (2018) Kontroly zimovišť netopýrů ve štolách Malá Amerika a V Závodě.",1,0,jedinci,NA,NA,NA,systém štol,NA,NA,Sběr floristických a faunistických nálezů,Nálezová data ochrany přírody,garantováno - věrohodný záznam,NA,NA,NA,KO,HD II a IV,VU,NA,-762254,-1055233,50,Letouni,CZ0214017: Karlštejn - Koda,100,0,5901649,100,6051a,2018-10-27,27,10,2018,CZ0214017,Karlštejn - Koda,Malá Amerika,0,jedinci,1,ano,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ne,ne,NA,ne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,ne,ne,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,0,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,Inf,0,NA,NA,NA,NA,NA,NA,0,NA,NA,-Inf,-Inf,-Inf,-Inf,-Inf,NA,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,0,1,1,2,-0,NA,-Inf,0,0,NA,NA,NA,NA,NA
