kod_chu,DRUH,ID_IND,KLIC,ROK,POLE,NAZEV_LOK,ID_ND_AKCE,ID_ND_LOK,HOD_IND,TYP_IND,LIM_IND,JEDNOTKA,LIM_INDLIST,STAV_IND,UROVEN,IND_GRP,CILMON_CHU
CZ0210027,Rhinolophus hipposideros,POP_PRESENCE,ano,2014,"15,""6054b""",NPR Voděradské bučiny,9140888,991635,ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0210027,Rhinolophus hipposideros,CELKOVE_HODNOCENI,NA,2014,"15,""6054b""",NPR Voděradské bučiny,9140888,991635,dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0210421,Rhinolophus hipposideros,POP_PRESENCE,ano,"2014, 2015","6050d, 6150b","Na Mramoru, Na Mramoru - štola, jeskyně Na Mramoru","9371298, 9544997, 9173015","5668057, 5062715, 998643",ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,1
CZ0210421,Rhinolophus hipposideros,CELKOVE_HODNOCENI,NA,"2014, 2015","6050d, 6150b","Na Mramoru, Na Mramoru - štola, jeskyně Na Mramoru","9371298, 9544997, 9173015","5668057, 5062715, 998643",dobrý,NA,NA,NA,NA,dobrý,chu,NA,1
CZ0213613,Rhinolophus hipposideros,POP_PRESENCE,ano,2015,6057c,Malešov,9173818,5505163,ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0213613,Rhinolophus hipposideros,CELKOVE_HODNOCENI,NA,2015,6057c,Malešov,9173818,5505163,dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0213615,Rhinolophus hipposideros,POP_PRESENCE,ano,2025,6452a,Jarnice - štola,15620446,5063510,ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0213615,Rhinolophus hipposideros,CELKOVE_HODNOCENI,NA,2025,6452a,Jarnice - štola,15620446,5063510,dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
CZ0213621,Rhinolophus hipposideros,POP_PRESENCE,ano,"2026, 2016, 2014, 2021",6051a,"Anděrova štola, Maršálkova štola, Mořina - Gotická chodba v lomu Mexiko, Mořina - Tichá štola - Velká Amerika, Velká Amerika, Zbytovského štola, vodní štola ve Velké Americe, štola Feministka","15546230, 15546611, 15546610, 15545588, 9778518, 9371423, 11299665, 9371359","998560, 998557, 7284026, 7073126, 5902607, 5668100, 5517604, 5668078",ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,1
CZ0213621,Rhinolophus hipposideros,CELKOVE_HODNOCENI,NA,"2026, 2016, 2014, 2021",6051a,"Anděrova štola, Maršálkova štola, Mořina - Gotická chodba v lomu Mexiko, Mořina - Tichá štola - Velká Amerika, Velká Amerika, Zbytovského štola, vodní štola ve Velké Americe, štola Feministka","15546230, 15546611, 15546610, 15545588, 9778518, 9371423, 11299665, 9371359","998560, 998557, 7284026, 7073126, 5902607, 5668100, 5517604, 5668078",dobrý,NA,NA,NA,NA,dobrý,chu,NA,1
CZ0213626,Rhinolophus hipposideros,POP_PRESENCE,ano,2015,6150a,DEL0170 - Suchomasty 1 - zámeček,9475181,1172831,ano,val,ano,přítomnost druhu,ano,dobrý,chu,val,0
CZ0213626,Rhinolophus hipposideros,CELKOVE_HODNOCENI,NA,2015,6150a,DEL0170 - Suchomasty 1 - zámeček,9475181,1172831,dobrý,NA,NA,NA,NA,dobrý,chu,NA,0
