kod_chu,DRUH,KOD_LOKAL,POLE,ROK,ID_IND,SKUPINA,NAZEV_LOK,ID_ND_AKCE,ID_ND_LOK,DATUM,CILMON,TYP_IND,KLIC,UROVEN,IND_GRP,JEDNOTKA,LIM_IND,LIM_INDLIST,STAV_IND,HOD_IND
CZ0210027,Rhinolophus hipposideros,NPR Voděradské bučiny,"15,""6054b""",2014,CELKOVE_HODNOCENI,Letouni,NPR Voděradské bučiny,9140888,991635,2014-05-20,0,NA,NA,lok,NA,NA,NA,NA,1,dobrý
CZ0210027,Rhinolophus hipposideros,NPR Voděradské bučiny,"15,""6054b""",2014,CELKOVE_SUM,Letouni,NPR Voděradské bučiny,9140888,991635,2014-05-20,0,NA,NA,NA,NA,NA,,,NA,1
CZ0210027,Rhinolophus hipposideros,NPR Voděradské bučiny,"15,""6054b""",2014,POP_PRESENCE,Letouni,NPR Voděradské bučiny,9140888,991635,2014-05-20,0,val,ano,lok,val,přítomnost druhu,ano,ano,1,ano
CZ0210421,Rhinolophus hipposideros,Na Mramoru,6050d,2014,CELKOVE_HODNOCENI,Letouni,Na Mramoru,9371298,5668057,2014-01-31,1,NA,NA,lok,NA,NA,NA,NA,1,dobrý
CZ0210421,Rhinolophus hipposideros,Na Mramoru,6050d,2014,CELKOVE_SUM,Letouni,Na Mramoru,9371298,5668057,2014-01-31,1,NA,NA,NA,NA,NA,,,NA,1
CZ0210421,Rhinolophus hipposideros,Na Mramoru,6050d,2014,POP_PRESENCE,Letouni,Na Mramoru,9371298,5668057,2014-01-31,1,val,ano,lok,val,přítomnost druhu,ano,ano,1,ano
CZ0210421,Rhinolophus hipposideros,Na Mramoru - štola,6050d,2015,CELKOVE_HODNOCENI,Letouni,Na Mramoru - štola,9544997,5062715,2015-02-06,0,NA,NA,lok,NA,NA,NA,NA,1,dobrý
CZ0210421,Rhinolophus hipposideros,Na Mramoru - štola,6050d,2015,CELKOVE_SUM,Letouni,Na Mramoru - štola,9544997,5062715,2015-02-06,0,NA,NA,NA,NA,NA,,,NA,1
CZ0210421,Rhinolophus hipposideros,Na Mramoru - štola,6050d,2015,POP_PRESENCE,Letouni,Na Mramoru - štola,9544997,5062715,2015-02-06,0,val,ano,lok,val,přítomnost druhu,ano,ano,1,ano
CZ0210421,Rhinolophus hipposideros,jeskyně Na Mramoru,6150b,2015,CELKOVE_HODNOCENI,Letouni,jeskyně Na Mramoru,9173015,998643,2015-02-06,0,NA,NA,lok,NA,NA,NA,NA,1,dobrý
CZ0210421,Rhinolophus hipposideros,jeskyně Na Mramoru,6150b,2015,CELKOVE_SUM,Letouni,jeskyně Na Mramoru,9173015,998643,2015-02-06,0,NA,NA,NA,NA,NA,,,NA,1
CZ0210421,Rhinolophus hipposideros,jeskyně Na Mramoru,6150b,2015,POP_PRESENCE,Letouni,jeskyně Na Mramoru,9173015,998643,2015-02-06,0,val,ano,lok,val,přítomnost druhu,ano,ano,1,ano
CZ0213613,Rhinolophus hipposideros,Malešov,6057c,2015,CELKOVE_HODNOCENI,Letouni,Malešov,9173818,5505163,2015-02-11,0,NA,NA,lok,NA,NA,NA,NA,1,dobrý
