kod_chu,DRUH,KOD_LOKAL,POLE,HODNOCENE_OBDOBI_OD,HODNOCENE_OBDOBI_DO
CZ0110040,Barbastella barbastellus,Velká Chuchle,5952c,2020-07-02,2020-07-02
CZ0110040,Chazara briseis,5952,NA,1995-01-01,1995-01-01
CZ0110040,Euplagia quadripunctaria,Lokace00102,5952c,2021-07-27,2021-07-27
CZ0110040,Euplagia quadripunctaria,Pod Akáty,5952c,2022-08-09,2022-08-09
CZ0110040,Euplagia quadripunctaria,Praha - Velká Chuchle,5952c,2017-07-29,2017-07-29
CZ0110040,Gentianella amarella,5952-3,NA,2001-09-05,2001-09-05
CZ0110040,Hipparchia semele,5952,NA,1995-01-01,2011-08-23
CZ0110040,Myotis myotis,Chuchle PR Homolka,5952c,2021-05-28,2021-05-28
CZ0110040,Myotis myotis,PR Chuchelský háj,5952c,2007-06-27,2007-06-27
CZ0110040,Myotis myotis,"Praha - Malá Chuchle, Chuchelský háj",5952c,2007-06-27,2007-06-27
CZ0110040,Myotis sp.,Velká Chuchle,5952c,2020-05-18,2020-05-18
CZ0110049,Hipparchia semele,5852,NA,1995-01-01,1995-01-01
CZ0110050,Abramis brama,CZ0110050,5952c,2007-01-01,2007-01-01
CZ0110050,Barbastella barbastellus,Jinonice - tunel pod tratí,5952c,2005-11-26,2005-11-26
CZ0110050,Barbastella barbastellus,Jinonice - štola v Prokopském údolí,5952c,2005-12-26,2014-01-24
CZ0110050,Barbastella barbastellus,"Jinonice, Prokopské údolí, štola",5952c,2016-01-29,2017-02-11
CZ0110050,Barbastella barbastellus,"Praha - Prokopské údolí, štola",5952c,2013-01-25,2024-01-20
CZ0110050,Barbastella barbastellus,"Prokopské údolí, štola",5952c,2021-02-15,2025-12-07
CZ0110050,Barbastella barbastellus,Štola v Prokopském údolí,5952c,2022-01-29,2022-01-29
CZ0110050,Chazara briseis,5952,NA,1995-01-01,1995-01-01
CZ0110050,Euplagia quadripunctaria,"Jinonice 713, 158 00 Praha 5",5952c,2020-08-12,2020-08-12
CZ0110050,Euplagia quadripunctaria,MOTYLI1296,5952c,2022-08-02,2022-08-02
CZ0110050,Euplagia quadripunctaria,"Nad J svahem Prokopského údolí, nedaleko vyústění žlutě značené stezky nahoru.",5952c,2017-07-30,2017-07-30
CZ0110050,Euplagia quadripunctaria,"Novoveská, Hlavní město Praha - Jinonice",5952c,2023-08-11,2023-08-11
CZ0110050,Euplagia quadripunctaria,PR Prokopské údolí,5952c,2017-07-29,2017-08-05
CZ0110050,Euplagia quadripunctaria,Praha 5,5952c,2020-08-05,2020-08-05
CZ0110050,Euplagia quadripunctaria,"Praha 52, 152 00 Praha",5952c,2020-07-25,2020-07-25
CZ0110050,Euplagia quadripunctaria,"Praha, Prokopské údolí",5952c,2020-07-25,2020-07-25
CZ0110050,Euplagia quadripunctaria,"Prokopské a Dalejské Údolí, Praha, Hlavní město Praha",5952c,2020-07-29,2020-07-29
CZ0110050,Euplagia quadripunctaria,Prokopské údolí,5952c,2001-01-01,2018-08-01
CZ0110050,Euplagia quadripunctaria,"Prokopské údolí, Praha - Jinonice",5952c,2017-07-27,2019-08-02
CZ0110050,Euplagia quadripunctaria,"Prokopské údolí, Zlíchov",5952c,2018-07-08,2018-07-08
CZ0110050,Euplagia quadripunctaria,"Prokopské údolí, okolí soutoku Prokopského a Dalejského potoka",5952c,2018-07-14,2018-07-14
