kod_chu,DRUH,POSLEDNI_NALEZ
CZ0110040,Barbastella barbastellus,2020-07-02
CZ0110040,Chazara briseis,1995-01-01
CZ0110040,Euplagia quadripunctaria,2022-08-09
CZ0110040,Gentianella amarella,2001-09-05
CZ0110040,Hipparchia semele,2011-08-23
CZ0110040,Myotis myotis,2021-05-28
CZ0110040,Myotis sp.,2020-05-18
CZ0110049,Hipparchia semele,1995-01-01
CZ0110050,Abramis brama,2007-01-01
CZ0110050,Barbastella barbastellus,2025-12-07
CZ0110050,Chazara briseis,1995-01-01
CZ0110050,Euplagia quadripunctaria,2023-08-11
CZ0110050,Gentianella amarella,2001-09-05
CZ0110050,Hipparchia semele,2012-08-01
CZ0110050,Lucanus cervus,2021-09-03
CZ0110050,Myotis myotis,2026-02-07
CZ0110050,Myotis sp.,2019-06-05
CZ0110050,Salmo trutta,2022-11-26
CZ0110050,Sanguisorba officinalis,2009-07-30
CZ0110050,Scardinius erythrophthalmus,2007-01-01
CZ0110142,Barbastella barbastellus,2019-06-24
CZ0110142,Bombina bombina,2025-07-14
CZ0110142,Hipparchia semele,1995-01-01
CZ0110142,Lemna trisulca,2012-05-11
CZ0110142,Myotis sp.,2019-07-30
CZ0110142,Sanguisorba officinalis,2024-05-28
CZ0110142,Scardinius erythrophthalmus,2020-04-16
CZ0110154,Euplagia quadripunctaria,2021-08-10
CZ0110154,Hipparchia semele,1995-01-01
CZ0113001,Cucujus cinnaberinus,2023-11-11
CZ0113001,Hipparchia semele,2007-07-21
CZ0113001,Vertigo angustior,2016-05-22
CZ0113002,Bombina bombina,2023-05-06
CZ0113002,Cerambyx cerdo,2023-07-13
CZ0113002,Hipparchia semele,1995-01-01
CZ0113002,Lemna trisulca,2024-05-04
CZ0113002,Leucorrhinia pectoralis,2015-06-06
CZ0113002,Lucanus cervus,2015-04-01
CZ0113002,Myotis myotis,2019-07-21
CZ0113002,Sanguisorba officinalis,2018-08-04
CZ0113002,Scardinius erythrophthalmus,2024-05-08
CZ0113005,Chazara briseis,1995-01-01
CZ0113005,Euplagia quadripunctaria,2023-08-18
CZ0113005,Gentianella amarella,2001-09-05
CZ0113005,Hipparchia semele,2011-08-23
CZ0113005,Lucanus cervus,2015-04-01
CZ0113005,Lutra lutra,2024-04-05
CZ0113005,Myotis myotis,2015-05-21
CZ0113773,Castor fiber,2004-01-01
CZ0113773,Chazara briseis,1995-01-01
CZ0113773,Euplagia quadripunctaria,2020-08-12
CZ0113773,Hipparchia semele,2011-08-23
CZ0113773,Lucanus cervus,2025-06-04
CZ0113773,Myotis myotis,2022-06-10
CZ0113773,Scardinius erythrophthalmus,2023-06-09
CZ0114001,Austropotamobius torrentium,2017-09-11
CZ0114001,Barbastella barbastellus,2018-08-28
CZ0114001,Cottus gobio,2023-08-17
CZ0114001,Dracocephalum austriacum,2025-05-06
CZ0114001,Euplagia quadripunctaria,2025-08-15
CZ0114001,Hipparchia semele,2009-08-01
CZ0114001,Lucanus cervus,2024-06-10
CZ0114001,Lutra lutra,2013-02-19
CZ0114001,Myotis alcathoe/emarginatus,2025-08-26
CZ0114001,Myotis bechsteinii,2006-08-19
CZ0114001,Myotis myotis,2005-01-01
CZ0114001,Myotis sp.,2018-08-28
CZ0114001,Salmo trutta,2023-08-17
CZ0210003,Myotis myotis,2015-05-19
CZ0210008,Cucujus cinnaberinus,2024-03-29
CZ0210008,Sanguisorba officinalis,2024-06-10
CZ0210008,Succisa pratensis,2025-07-04
CZ0210008,Vertigo angustior,2008-06-05
CZ0210010,Lucanus cervus,2025-06-01
CZ0210010,Myotis bechsteinii,2022-05-08
CZ0210010,Triturus cristatus,2025-04-15
CZ0210011,Hipparchia semele,2010-07-20
CZ0210011,Lucanus cervus,2010-04-17
CZ0210022,Cypripedium calceolus,2016-05-19
CZ0210022,Euphydryas maturna,2007-06-09
CZ0210022,Lucanus cervus,2023-07-26
CZ0210022,Phengaris teleius,2000-01-01
CZ0210022,Sanguisorba officinalis,2025-07-22
CZ0210027,Barbastella barbastellus,2015-09-30
CZ0210027,Coleanthus subtilis,2021-07-16
CZ0210027,Cucujus cinnaberinus,2022-05-26
CZ0210027,Lutra lutra,2015-11-25
CZ0210027,Myotis bechsteinii,2015-09-30
CZ0210027,Myotis myotis,2015-09-30
CZ0210027,Ophiogomphus cecilia,2003-01-01
CZ0210027,Rhinolophus hipposideros,2014-05-20
CZ0210028,Euplagia quadripunctaria,2008-08-27
CZ0210028,Myotis bechsteinii,2024-08-24
CZ0210028,Phengaris nausithous,2002-01-01
CZ0210034,Sanguisorba officinalis,2017-05-23
CZ0210034,Succisa pratensis,2017-05-23
CZ0210043,Cerambyx cerdo,2015-12-15
CZ0210043,Dicranum viride,2018-09-17
CZ0210043,Myotis myotis,2019-07-08
CZ0210043,Osmoderma barnabita,2015-10-02
CZ0210047,Barbastella barbastellus,2018-09-08
CZ0210047,Lynx lynx,2021-11-08
CZ0210047,Myotis alcathoe/emarginatus,2017-07-06
CZ0210047,Myotis bechsteinii,2018-09-08
CZ0210047,Myotis myotis,2015-08-30
CZ0210053,Chazara briseis,1995-01-01
CZ0210053,Euplagia quadripunctaria,2021-09-02
CZ0210053,Hipparchia semele,1995-01-01
CZ0210053,Lucanus cervus,2023-06-11
CZ0210053,Myotis myotis,2014-08-15
CZ0210054,Canis lupus,2025-03-24
CZ0210054,Hipparchia semele,1995-01-01
CZ0210056,Phengaris teleius,2023-07-13
CZ0210056,Sanguisorba officinalis,2023-06-12
CZ0210056,Succisa pratensis,2023-06-12
CZ0210058,Sanguisorba officinalis,2012-07-23
CZ0210058,Succisa pratensis,2012-07-24
CZ0210062,Phengaris nausithous,2021-07-26
CZ0210062,Phengaris teleius,2021-07-26
CZ0210062,Rumex sp.,2011-05-20
CZ0210062,Sanguisorba officinalis,2022-06-23
CZ0210062,Succisa pratensis,2004-06-12
CZ0210066,Cypripedium calceolus,2021-06-03
CZ0210100,Bombina bombina,2011-04-29
CZ0210100,Cypripedium calceolus,2011-06-09
CZ0210100,Rumex sp.,2019-05-01
CZ0210100,Triturus cristatus,2011-04-29
CZ0210101,Ameiurus nebulosus,2004-01-01
CZ0210101,Bombina bombina,2024-04-28
CZ0210101,Cypripedium calceolus,2016-05-18
CZ0210101,Lemna trisulca,2021-06-18
CZ0210101,Lucanus cervus,2025-06-05
CZ0210101,Lutra lutra,2020-04-22
CZ0210101,Lycaena dispar,2024-05-10
CZ0210101,Myotis myotis,2012-06-21
CZ0210101,Phengaris nausithous,1995-01-01
CZ0210101,Sanguisorba officinalis,2023-06-22
CZ0210101,Scardinius erythrophthalmus,2004-01-01
CZ0210101,Succisa pratensis,2023-06-22
CZ0210101,Triturus cristatus,2021-07-15
CZ0210101,Vertigo angustior,2023-05-11
CZ0210105,Cypripedium calceolus,2024-07-11
CZ0210105,Euplagia quadripunctaria,2023-06-08
CZ0210105,Lucanus cervus,2020-07-02
CZ0210107,Cypripedium calceolus,2024-08-01
CZ0210109,Barbastella barbastellus,2025-07-02
CZ0210109,Bombina bombina,2025-04-29
CZ0210109,Lucanus cervus,2025-07-02
CZ0210109,Myotis bechsteinii,2025-07-02
CZ0210109,Myotis emarginatus,2025-05-27
CZ0210109,Myotis myotis,2025-07-02
CZ0210109,Sanguisorba officinalis,2024-08-18
CZ0210109,Succisa pratensis,2022-05-01
CZ0210109,Triturus cristatus,2013-04-30
CZ0210111,Pulsatilla patens,2025-06-29
CZ0210113,Euphydryas maturna,2007-06-09
CZ0210113,Hamatocaulis vernicosus,2001-01-01
CZ0210113,Sanguisorba officinalis,2022-06-22
CZ0210113,Succisa pratensis,2022-06-22
CZ0210113,Vertigo angustior,2004-06-08
CZ0210114,Euplagia quadripunctaria,2017-08-11
CZ0210114,Lycaena dispar,2013-09-07
CZ0210114,Spermophilus citellus,2025-06-30
CZ0210118,Bombina bombina,2025-05-28
CZ0210118,Cucujus cinnaberinus,2004-04-28
CZ0210118,Lemna trisulca,2005-07-17
CZ0210118,Myotis myotis,2013-09-02
CZ0210118,Sanguisorba officinalis,2018-06-29
CZ0210118,Triturus cristatus,2024-06-02
CZ0210150,Bombina bombina,2014-04-08
CZ0210150,Cucujus cinnaberinus,2021-09-18
CZ0210150,Cypripedium calceolus,2016-06-12
CZ0210150,Lucanus cervus,2024-08-27
CZ0210150,Myotis myotis,2012-08-24
CZ0210150,Triturus cristatus,2011-08-05
CZ0210152,Abramis brama,2016-10-25
CZ0210152,Ameiurus nebulosus,2016-10-25
CZ0210152,Blicca bjoerkna,2016-10-25
CZ0210152,Bombina bombina,2024-06-26
CZ0210152,Castor fiber,2020-02-16
CZ0210152,Cucujus cinnaberinus,2025-09-30
CZ0210152,Lemna trisulca,2025-05-12
CZ0210152,Leuciscus aspius,2004-01-01
CZ0210152,Lycaena dispar,2025-07-20
CZ0210152,Phengaris nausithous,2025-08-13
CZ0210152,Phengaris teleius,2021-07-28
CZ0210152,Sanguisorba officinalis,2025-07-18
CZ0210152,Scardinius erythrophthalmus,2016-10-25
CZ0210152,Succisa pratensis,2025-05-12
CZ0210152,Triturus cristatus,2024-06-26
CZ0210153,Cerambyx cerdo,2009-06-01
CZ0210153,Cucujus cinnaberinus,2014-05-03
CZ0210153,Euplagia quadripunctaria,2019-07-20
CZ0210153,Hipparchia semele,2004-01-01
CZ0210153,Lucanus cervus,2015-04-01
CZ0210172,Bombina bombina,2025-05-20
CZ0210172,Hamatocaulis vernicosus,2001-01-01
CZ0210172,Hipparchia semele,1995-01-01
CZ0210172,Lemna trisulca,2022-06-22
CZ0210172,Leucorrhinia pectoralis,2021-06-28
CZ0210172,Lycaena dispar,2024-07-22
CZ0210172,Misgurnus fossilis,2013-10-24
CZ0210172,Phengaris nausithous,2023-08-03
CZ0210172,Phengaris teleius,2023-08-03
CZ0210172,Sanguisorba officinalis,2023-08-03
CZ0210172,Succisa pratensis,2022-06-14
CZ0210172,Triturus cristatus,2025-05-20
CZ0210172,Vertigo angustior,2012-08-06
CZ0210175,Bombina bombina,2022-07-20
CZ0210175,Lemna trisulca,2005-05-13
CZ0210175,Leucorrhinia pectoralis,2025-05-29
CZ0210175,Lucanus cervus,2018-07-31
CZ0210175,Lycaena dispar,2018-07-31
CZ0210175,Succisa pratensis,2017-07-07
CZ0210186,Abramis brama,2004-01-01
CZ0210186,Ameiurus melas,2007-04-01
CZ0210186,Ameiurus nebulosus,2010-07-14
CZ0210186,Blicca bjoerkna,2010-11-14
CZ0210186,Castor fiber,2025-05-10
CZ0210186,Cucujus cinnaberinus,2021-06-04
CZ0210186,Lemna trisulca,2021-05-21
CZ0210186,Leuciscus aspius,2014-10-20
CZ0210186,Lucanus cervus,2024-06-08
CZ0210186,Lutra lutra,2006-11-16
CZ0210186,Phengaris nausithous,2023-08-03
CZ0210186,Phengaris teleius,2021-07-28
CZ0210186,Rhodeus amarus,2011-05-01
CZ0210186,Sanguisorba officinalis,2025-11-06
CZ0210186,Scardinius erythrophthalmus,2014-10-20
CZ0210186,Succisa pratensis,2025-11-06
CZ0210186,Triturus cristatus,2011-04-30
CZ0210409,Austropotamobius torrentium,2024-08-13
CZ0210409,Barbastella barbastellus,2019-08-24
CZ0210409,Euplagia quadripunctaria,2020-07-30
CZ0210409,Hipparchia semele,2009-08-01
CZ0210409,Lucanus cervus,2021-07-05
CZ0210421,Barbastella barbastellus,2012-02-07
CZ0210421,Euplagia quadripunctaria,2008-07-29
CZ0210421,Hipparchia semele,2010-07-20
CZ0210421,Myotis myotis,2012-02-07
CZ0210421,Myotis sp.,2008-02-01
CZ0210421,Rhinolophus hipposideros,2015-02-06
CZ0210704,Euplagia quadripunctaria,2021-08-25
CZ0210708,Euplagia quadripunctaria,2004-03-19
CZ0210708,Lucanus cervus,2024-12-14
CZ0210708,Osmoderma barnabita,2009-06-01
CZ0210708,Vertigo angustior,2004-07-07
CZ0210713,Lucanus cervus,2024-06-16
CZ0210713,Sanguisorba officinalis,2020-08-28
CZ0210713,Succisa pratensis,2025-05-23
CZ0210714,Abramis brama,2016-10-05
CZ0210714,Ameiurus nebulosus,2004-01-01
CZ0210714,Blicca bjoerkna,2016-10-05
CZ0210714,Bombina bombina,2024-05-02
CZ0210714,Cucujus cinnaberinus,2023-07-24
CZ0210714,Lemna trisulca,2022-08-30
CZ0210714,Leuciscus aspius,2016-10-05
CZ0210714,Lutra lutra,2004-08-01
CZ0210714,Rhodeus amarus,2007-08-03
CZ0210714,Scardinius erythrophthalmus,2016-10-05
CZ0210714,Triturus cristatus,2011-04-07
CZ0210719,Euplagia quadripunctaria,2021-08-06
CZ0210719,Sanguisorba officinalis,2021-05-02
CZ0210720,Bombina bombina,2023-04-15
CZ0210720,Lucanus cervus,2025-06-14
CZ0210720,Succisa pratensis,2025-07-05
CZ0210720,Vertigo angustior,2006-11-22
CZ0210721,Sanguisorba officinalis,2004-06-08
CZ0210721,Succisa pratensis,2021-09-13
CZ0210721,Vertigo angustior,2006-11-22
CZ0210721,Vertigo moulinsiana,2015-10-06
CZ0210729,Cucujus cinnaberinus,2024-03-23
CZ0210729,Euplagia quadripunctaria,2022-08-07
CZ0210729,Hipparchia semele,1995-01-01
CZ0210729,Lucanus cervus,2017-07-04
CZ0210729,Lycaena dispar,2022-06-08
CZ0210729,Myotis myotis,2013-08-24
CZ0210731,Bombina bombina,2023-06-19
CZ0210731,Sanguisorba officinalis,2010-05-28
CZ0210731,Succisa pratensis,2018-05-22
CZ0210732,Succisa pratensis,2014-08-22
CZ0212001,Bombina bombina,2022-05-10
CZ0212001,Coleanthus subtilis,2023-05-30
CZ0212004,Cypripedium calceolus,2024-06-07
CZ0212004,Euplagia quadripunctaria,2018-07-20
CZ0212006,Castor fiber,2024-12-15
CZ0212006,Cottus gobio,2022-06-22
CZ0212006,Myotis bechsteinii,2015-05-04
CZ0212006,Trichomanes speciosum,2021-05-12
CZ0212008,Minuartia smejkalii,2025-07-07
CZ0212010,Bombina bombina,2022-05-10
CZ0212010,Coleanthus subtilis,2023-05-30
CZ0212019,Adenophora liliifolia,2024-07-23
CZ0212019,Bombina bombina,2002-05-01
CZ0212019,Cypripedium calceolus,2024-05-19
CZ0212019,Euplagia quadripunctaria,2008-08-19
CZ0212019,Sanguisorba officinalis,2021-07-07
CZ0212019,Succisa pratensis,2021-07-07
CZ0212019,Vertigo angustior,2019-07-16
CZ0212020,Cottus gobio,2012-08-17
CZ0212020,Lampetra planeri,2012-08-17
CZ0212020,Lemna trisulca,2019-04-19
CZ0212020,Ligularia sibirica,2025-10-14
CZ0212020,Lutra lutra,2013-05-08
CZ0212020,Myotis myotis,2013-08-31
CZ0212020,Salmo trutta,2023-09-22
CZ0212020,Sanguisorba officinalis,2023-06-14
CZ0212020,Succisa pratensis,2009-01-01
CZ0212020,Vertigo angustior,2023-05-22
CZ0212020,Vertigo moulinsiana,2024-05-21
CZ0212021,Bombina bombina,2002-01-01
CZ0212021,Gladiolus palustris,2025-06-25
CZ0212021,Sanguisorba officinalis,2022-06-27
CZ0212021,Succisa pratensis,2020-06-22
CZ0212021,Thesium ebracteatum,2025-06-12
CZ0212022,Cypripedium calceolus,2023-06-13
CZ0212023,Jurinea cyanoides,2025-11-28
CZ0212024,Cypripedium calceolus,2023-07-19
CZ0212025,Cypripedium calceolus,2023-07-19
CZ0213001,Bombina bombina,2025-05-20
CZ0213001,Triturus cristatus,2020-06-16
CZ0213004,Bombina bombina,2025-08-04
CZ0213005,Bombina bombina,2025-09-03
CZ0213005,Castor fiber,2026-03-03
CZ0213005,Triturus cristatus,2008-05-09
CZ0213006,Euplagia quadripunctaria,2021-08-10
CZ0213006,Lemna trisulca,2016-07-04
CZ0213006,Ligularia sibirica,2024-07-31
CZ0213006,Vertigo moulinsiana,2015-09-30
CZ0213009,Abramis brama,2004-01-01
CZ0213009,Ameiurus nebulosus,2016-04-21
CZ0213009,Blicca bjoerkna,2014-10-11
CZ0213009,Bombina bombina,2025-06-11
CZ0213009,Castor fiber,2025-04-11
CZ0213009,Cottus gobio,2023-10-16
CZ0213009,Lampetra planeri,2023-11-14
CZ0213009,Lemna trisulca,2002-05-15
CZ0213009,Leuciscus aspius,2004-01-01
CZ0213009,Lutra lutra,2024-08-21
CZ0213009,Ophiogomphus cecilia,2019-07-18
CZ0213009,Osmoderma barnabita,2024-07-03
CZ0213009,Rhodeus amarus,2014-10-11
CZ0213009,Salmo trutta,2020-11-06
CZ0213009,Sanguisorba officinalis,2022-09-07
CZ0213009,Scardinius erythrophthalmus,2004-01-01
CZ0213009,Succisa pratensis,2024-05-18
CZ0213009,Unio crassus,2024-06-23
CZ0213013,Bombina bombina,2025-08-05
CZ0213013,Lutra lutra,2018-05-18
CZ0213013,Sanguisorba officinalis,2013-08-09
CZ0213015,Lucanus cervus,2024-06-10
CZ0213015,Osmoderma barnabita,2015-05-23
CZ0213015,Phengaris nausithous,2025-08-03
CZ0213015,Sanguisorba officinalis,2008-10-10
CZ0213015,Succisa pratensis,2008-05-24
CZ0213016,Abramis brama,2004-01-01
CZ0213016,Austropotamobius torrentium,2025-10-25
CZ0213016,Cottus gobio,2014-09-23
CZ0213016,Hipparchia semele,2003-07-24
CZ0213016,Lampetra planeri,2014-09-23
CZ0213016,Lutra lutra,2016-10-21
CZ0213016,Salmo trutta,2014-09-23
CZ0213016,Scardinius erythrophthalmus,2004-01-01
CZ0213017,Bombina bombina,2025-06-25
CZ0213017,Triturus cristatus,2024-06-24
CZ0213023,Chazara briseis,1995-01-01
CZ0213023,Euplagia quadripunctaria,2021-08-04
CZ0213023,Hipparchia semele,1995-01-01
CZ0213028,Bombina bombina,2025-07-04
CZ0213028,Sanguisorba officinalis,2023-06-24
CZ0213028,Triturus cristatus,2022-07-06
CZ0213029,Bombina bombina,2025-05-15
CZ0213029,Lemna trisulca,2022-08-15
CZ0213029,Sanguisorba officinalis,2003-06-03
CZ0213029,Triturus cristatus,2025-05-03
CZ0213038,Lucanus cervus,2025-06-18
CZ0213038,Triturus cristatus,2025-07-04
CZ0213039,Abramis brama,2021-10-20
CZ0213039,Ameiurus melas,2020-06-02
CZ0213039,Ameiurus nebulosus,2020-05-26
CZ0213039,Blicca bjoerkna,2015-10-03
CZ0213039,Castor fiber,2025-07-08
CZ0213039,Leuciscus aspius,2004-01-01
CZ0213039,Myotis myotis,2015-05-15
CZ0213039,Ophiogomphus cecilia,2006-01-01
CZ0213039,Rhodeus amarus,2022-09-22
CZ0213039,Salmo trutta,2004-01-01
CZ0213042,Cottus gobio,2016-11-11
CZ0213042,Lampetra planeri,2023-10-22
CZ0213042,Lutra lutra,2015-05-07
CZ0213042,Salmo trutta,2015-05-29
CZ0213043,Euplagia quadripunctaria,2021-07-29
CZ0213043,Lucanus cervus,2025-08-28
CZ0213047,Bombina bombina,2025-09-03
CZ0213047,Lemna trisulca,2023-05-12
CZ0213047,Triturus cristatus,2021-07-12
CZ0213048,Abramis brama,2000-01-01
CZ0213048,Blicca bjoerkna,2000-01-01
CZ0213048,Cucujus cinnaberinus,2015-04-01
CZ0213048,Rhodeus amarus,2023-08-29
CZ0213048,Scardinius erythrophthalmus,2000-01-01
CZ0213050,Austropotamobius torrentium,2016-11-23
CZ0213050,Barbastella barbastellus,2017-04-11
CZ0213050,Hipparchia semele,1995-01-01
CZ0213050,Lampetra planeri,2025-03-26
CZ0213050,Lutra lutra,2016-08-03
CZ0213050,Myotis myotis,2016-09-14
CZ0213051,Euphydryas maturna,2007-06-05
CZ0213051,Lucanus cervus,2020-07-15
CZ0213058,Bombina bombina,2025-06-30
CZ0213058,Leucorrhinia pectoralis,2023-06-16
CZ0213058,Lycaena dispar,2021-08-22
CZ0213058,Triturus cristatus,2025-07-13
CZ0213059,Hipparchia semele,2015-01-01
CZ0213059,Vertigo angustior,2023-10-13
CZ0213061,Abramis brama,2004-01-01
CZ0213061,Ameiurus nebulosus,2014-04-22
CZ0213061,Blicca bjoerkna,2004-01-01
CZ0213061,Bombina bombina,2025-05-11
CZ0213061,Cucujus cinnaberinus,2004-05-01
CZ0213061,Lemna trisulca,2022-08-16
CZ0213061,Leuciscus aspius,2004-01-01
CZ0213061,Phengaris nausithous,1995-01-01
CZ0213061,Sanguisorba officinalis,2020-08-06
CZ0213061,Scardinius erythrophthalmus,2004-01-01
CZ0213061,Triturus cristatus,2020-06-16
CZ0213063,Euplagia quadripunctaria,2012-03-01
CZ0213063,Lycaena dispar,2012-03-01
CZ0213063,Phengaris nausithous,2025-08-08
CZ0213063,Sanguisorba officinalis,2013-09-12
CZ0213064,Bombina bombina,2025-09-20
CZ0213064,Sanguisorba officinalis,2023-07-12
CZ0213064,Succisa pratensis,2023-07-12
CZ0213064,Triturus cristatus,2025-07-02
CZ0213065,Euplagia quadripunctaria,2025-08-14
CZ0213065,Lucanus cervus,2020-07-24
CZ0213065,Phengaris nausithous,1960-01-01
CZ0213066,Bombina bombina,2025-07-02
CZ0213066,Sanguisorba officinalis,2012-05-15
CZ0213066,Triturus cristatus,2021-07-11
CZ0213067,Abramis brama,2015-08-17
CZ0213067,Blicca bjoerkna,2016-10-01
CZ0213067,Cottus gobio,2016-10-01
CZ0213067,Leuciscus aspius,2023-10-17
