kod_chu,DRUH,POLE,POSLEDNI_NALEZ
CZ0110040,Barbastella barbastellus,5952c,2020-07-02
CZ0110040,Chazara briseis,NA,1995-01-01
CZ0110040,Euplagia quadripunctaria,5952c,2022-08-09
CZ0110040,Gentianella amarella,NA,2001-09-05
CZ0110040,Hipparchia semele,NA,2011-08-23
CZ0110040,Myotis myotis,5952c,2021-05-28
CZ0110040,Myotis sp.,5952c,2020-05-18
CZ0110049,Hipparchia semele,NA,1995-01-01
CZ0110050,Abramis brama,5952c,2007-01-01
CZ0110050,Barbastella barbastellus,5952c,2025-12-07
CZ0110050,Chazara briseis,NA,1995-01-01
CZ0110050,Euplagia quadripunctaria,5952c,2023-08-11
CZ0110050,Gentianella amarella,NA,2001-09-05
CZ0110050,Hipparchia semele,NA,2012-08-01
CZ0110050,Lucanus cervus,5952c,2021-09-03
CZ0110050,Myotis myotis,5952c,2026-02-07
CZ0110050,Myotis sp.,5952c,2019-06-05
CZ0110050,Salmo trutta,5952c,2022-11-26
CZ0110050,Sanguisorba officinalis,5952c,2009-07-30
CZ0110050,Scardinius erythrophthalmus,5952c,2007-01-01
CZ0110142,Barbastella barbastellus,5953b,2019-06-24
CZ0110142,Bombina bombina,5953b,2025-07-14
CZ0110142,Hipparchia semele,NA,1995-01-01
CZ0110142,Lemna trisulca,5953b,2012-05-11
CZ0110142,Myotis sp.,5953b,2019-07-30
CZ0110142,Sanguisorba officinalis,5953b,2024-05-28
CZ0110142,Scardinius erythrophthalmus,5953b,2020-04-16
CZ0110154,Euplagia quadripunctaria,5852c,2021-08-10
CZ0110154,Hipparchia semele,NA,1995-01-01
CZ0113001,Cucujus cinnaberinus,5951b,2023-11-11
CZ0113001,Hipparchia semele,NA,2007-07-21
CZ0113001,Vertigo angustior,5951b,2016-05-22
CZ0113002,Bombina bombina,5953c,2023-05-06
CZ0113002,Cerambyx cerdo,5953c,2023-07-13
CZ0113002,Hipparchia semele,NA,1995-01-01
CZ0113002,Lemna trisulca,5953c,2024-05-04
CZ0113002,Leucorrhinia pectoralis,5953c,2015-06-06
CZ0113002,Lucanus cervus,5953c,2015-04-01
CZ0113002,Myotis myotis,5953c,2019-07-21
CZ0113002,Sanguisorba officinalis,5953c,2018-08-04
CZ0113002,Scardinius erythrophthalmus,5953c,2024-05-08
CZ0113005,Chazara briseis,NA,1995-01-01
CZ0113005,Euplagia quadripunctaria,5951d,2022-07-28
CZ0113005,Euplagia quadripunctaria,6052a,2023-08-18
CZ0113005,Euplagia quadripunctaria,"82,""6052a""",2011-05-19
CZ0113005,Gentianella amarella,NA,2001-09-05
CZ0113005,Hipparchia semele,NA,2011-08-23
CZ0113005,Lucanus cervus,"37,""6052a""",2015-04-01
CZ0113005,Lutra lutra,"45,""6052a""",2024-04-05
CZ0113005,Myotis myotis,6051b,2015-05-21
CZ0113773,Castor fiber,5952a,2004-01-01
CZ0113773,Chazara briseis,NA,1995-01-01
CZ0113773,Euplagia quadripunctaria,5952a,2020-08-12
CZ0113773,Hipparchia semele,NA,2011-08-23
CZ0113773,Lucanus cervus,5952a,2025-06-04
CZ0113773,Myotis myotis,5952a,2022-06-10
CZ0113773,Scardinius erythrophthalmus,5952a,2023-06-09
CZ0114001,Austropotamobius torrentium,5951d,2016-05-20
CZ0114001,Austropotamobius torrentium,6051b,2017-09-11
CZ0114001,Barbastella barbastellus,"39,""6051b""",2005-01-01
CZ0114001,Barbastella barbastellus,6051b,2018-08-28
CZ0114001,Cottus gobio,6051b,2023-08-17
CZ0114001,Dracocephalum austriacum,6051b,2025-05-06
CZ0114001,Euplagia quadripunctaria,"02,""6051b""",2004-07-30
CZ0114001,Euplagia quadripunctaria,"24,""6051b""",1956-01-01
CZ0114001,Euplagia quadripunctaria,"27,""6051b""",2004-07-30
CZ0114001,Euplagia quadripunctaria,5951d,2025-08-15
CZ0114001,Euplagia quadripunctaria,6051b,2024-07-09
CZ0114001,Hipparchia semele,NA,2009-08-01
CZ0114001,Lucanus cervus,5951d,2024-06-10
CZ0114001,Lutra lutra,6051b,2013-02-19
CZ0114001,Myotis alcathoe/emarginatus,5951d,2025-08-26
CZ0114001,Myotis alcathoe/emarginatus,6051b,2018-08-28
CZ0114001,Myotis bechsteinii,5951d,2005-07-27
CZ0114001,Myotis bechsteinii,6051b,2006-08-19
CZ0114001,Myotis myotis,"39,""6051b""",2005-01-01
CZ0114001,Myotis sp.,6051b,2018-08-28
CZ0114001,Salmo trutta,5951d,2023-08-17
CZ0114001,Salmo trutta,6051b,2016-12-06
CZ0210003,Myotis myotis,6355d,2015-05-19
CZ0210008,Cucujus cinnaberinus,5653c,2021-06-04
CZ0210008,Cucujus cinnaberinus,5653d,2024-03-29
CZ0210008,Sanguisorba officinalis,5653c,2024-06-10
CZ0210008,Succisa pratensis,5653c,2025-07-04
CZ0210008,Vertigo angustior,5653c,2008-06-05
CZ0210010,Lucanus cervus,"01,""6150a""",2011-07-04
CZ0210010,Lucanus cervus,6150a,2025-06-01
CZ0210010,Myotis bechsteinii,6150a,2022-05-08
CZ0210010,Triturus cristatus,6150a,2025-04-15
CZ0210011,Hipparchia semele,NA,2010-07-20
CZ0210011,Lucanus cervus,6050c,2010-04-17
CZ0210022,Cypripedium calceolus,5857d,2016-05-19
CZ0210022,Euphydryas maturna,NA,2007-06-09
CZ0210022,Lucanus cervus,5857d,2023-07-26
CZ0210022,Phengaris teleius,"81,""5857d""",2000-01-01
CZ0210022,Sanguisorba officinalis,5857d,2025-07-22
CZ0210027,Barbastella barbastellus,"15,""6054b""",2014-05-20
CZ0210027,Barbastella barbastellus,6054b,2015-09-30
CZ0210027,Coleanthus subtilis,6054b,2021-07-16
CZ0210027,Cucujus cinnaberinus,6054b,2022-05-26
CZ0210027,Lutra lutra,"15,""6054b""",2012-01-21
CZ0210027,Lutra lutra,6054b,2015-11-25
CZ0210027,Myotis bechsteinii,6054b,2015-09-30
CZ0210027,Myotis myotis,"15,""6054b""",2014-05-20
CZ0210027,Myotis myotis,6054b,2015-09-30
CZ0210027,Ophiogomphus cecilia,"15,""6054b""",2003-01-01
CZ0210027,Rhinolophus hipposideros,"01,""6054d""",2005-06-01
CZ0210027,Rhinolophus hipposideros,"15,""6054b""",2014-05-20
CZ0210028,Euplagia quadripunctaria,"99,""6155a""",2008-08-27
CZ0210028,Myotis bechsteinii,6155a,2024-08-24
CZ0210028,Phengaris nausithous,"88,""6155a""",2002-01-01
CZ0210034,Sanguisorba officinalis,"11,""5753a""",2017-05-23
CZ0210034,Sanguisorba officinalis,5753a,2017-05-23
CZ0210034,Succisa pratensis,"01,""5753a""",2010-07-06
CZ0210034,Succisa pratensis,"11,""5753a""",2017-05-23
CZ0210034,Succisa pratensis,5753a,2017-05-23
CZ0210043,Cerambyx cerdo,6150d,2015-12-15
CZ0210043,Dicranum viride,6150d,2018-09-17
CZ0210043,Myotis myotis,"2,""6150d""",2015-05-14
CZ0210043,Myotis myotis,6150d,2019-07-08
