typ_predmetu_hodnoceni;kod_chu;nazev_chu;druh;feature_code;hodnocene_obdobi_od;hodnocene_obdobi_do;oop;parametr_nazev;parametr_hodnota;parametr_limit;parametr_jednotka;stav;trend;datum_hodnoceni;pracoviste;ind_nadr;metodika
Druh;CZ0714082;Bečva - Žebračka;Bombina bombina;1188;2022-05-13;2024-09-15;AOPK ČR - RP Olomoucko, Krajský úřad Olomouckého kraje;27;66.67;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Olomoucko;NA;19269
Druh;CZ0714082;Bečva - Žebračka;Bombina bombina;1188;2022-05-13;2024-09-15;AOPK ČR - RP Olomoucko, Krajský úřad Olomouckého kraje;21;22;NA;volající samci;nehodnocen;neznámý;2025-07-28;RP Olomoucko;NA;19269
Druh;CZ0714082;Bečva - Žebračka;Bombina bombina;1188;2022-05-13;2024-09-15;AOPK ČR - RP Olomoucko, Krajský úřad Olomouckého kraje;22;100;NA;volající samci;nehodnocen;neznámý;2025-07-28;RP Olomoucko;NA;19269
Druh;CZ0714082;Bečva - Žebračka;Bombina bombina;1188;2022-05-13;2024-09-15;AOPK ČR - RP Olomoucko, Krajský úřad Olomouckého kraje;80;66.67;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Olomoucko;NA;19269
Druh;CZ0714082;Bečva - Žebračka;Bombina bombina;1188;2022-05-13;2024-09-15;AOPK ČR - RP Olomoucko, Krajský úřad Olomouckého kraje;30;NA;50;% lokalit v dobrém stavu;neznámý;neznámý;2025-07-28;RP Olomoucko;NA;19269
Druh;CZ0714082;Bečva - Žebračka;Bombina bombina;1188;2022-05-13;2024-09-15;AOPK ČR - RP Olomoucko, Krajský úřad Olomouckého kraje;31;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Olomoucko;NA;19269
Druh;CZ0714082;Bečva - Žebračka;Bombina bombina;1188;2022-05-13;2024-09-15;AOPK ČR - RP Olomoucko, Krajský úřad Olomouckého kraje;32;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Olomoucko;NA;19269
Druh;CZ0714082;Bečva - Žebračka;Bombina bombina;1188;2022-05-13;2024-09-15;AOPK ČR - RP Olomoucko, Krajský úřad Olomouckého kraje;33;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Olomoucko;NA;19269
Druh;CZ0714082;Bečva - Žebračka;Bombina bombina;1188;2022-05-13;2024-09-15;AOPK ČR - RP Olomoucko, Krajský úřad Olomouckého kraje;34;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Olomoucko;NA;19269
Druh;CZ0714082;Bečva - Žebračka;Bombina bombina;1188;2022-05-13;2024-09-15;AOPK ČR - RP Olomoucko, Krajský úřad Olomouckého kraje;36;33.33;50;% lokalit v dobrém stavu;špatný;neznámý;2025-07-28;RP Olomoucko;NA;19269
Druh;CZ0714082;Bečva - Žebračka;Bombina bombina;1188;2022-05-13;2024-09-15;AOPK ČR - RP Olomoucko, Krajský úřad Olomouckého kraje;37;33.33;50;% lokalit v dobrém stavu;špatný;neznámý;2025-07-28;RP Olomoucko;NA;19269
Druh;CZ0714082;Bečva - Žebračka;Bombina bombina;1188;2022-05-13;2024-09-15;AOPK ČR - RP Olomoucko, Krajský úřad Olomouckého kraje;38;100;50;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Olomoucko;NA;19269
Druh;CZ0714082;Bečva - Žebračka;Bombina bombina;1188;2022-05-13;2024-09-15;AOPK ČR - RP Olomoucko, Krajský úřad Olomouckého kraje;130;33.33;NA;% lokalit v dobrém stavu;nehodnocen;neznámý;2025-07-28;RP Olomoucko;NA;19269
Druh;CZ0714082;Bečva - Žebračka;Bombina bombina;1188;2022-05-13;2024-09-15;AOPK ČR - RP Olomoucko, Krajský úřad Olomouckého kraje;131;3;NA;počet dílčích lokalit;nehodnocen;neznámý;2025-07-28;RP Olomoucko;NA;19269
Druh;CZ0714082;Bečva - Žebračka;Bombina bombina;1188;2022-05-13;2024-09-15;AOPK ČR - RP Olomoucko, Krajský úřad Olomouckého kraje;10;NA;NA;hodnocení dílčích parametrů;zhoršený;zlepšující se;2025-07-28;RP Olomoucko;NA;19269
Druh;CZ0724089;Beskydy;Bombina variegata;1193;2022-04-14;2024-09-11;AOPK ČR - RP Moravskoslezské;27;71.43;30;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0724089;Beskydy;Bombina variegata;1193;2022-04-14;2024-09-11;AOPK ČR - RP Moravskoslezské;21;25;NA;adulti;nehodnocen;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0724089;Beskydy;Bombina variegata;1193;2022-04-14;2024-09-11;AOPK ČR - RP Moravskoslezské;22;190;NA;adulti;nehodnocen;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0724089;Beskydy;Bombina variegata;1193;2022-04-14;2024-09-11;AOPK ČR - RP Moravskoslezské;80;42.86;30;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0724089;Beskydy;Bombina variegata;1193;2022-04-14;2024-09-11;AOPK ČR - RP Moravskoslezské;30;57.14;30;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0724089;Beskydy;Bombina variegata;1193;2022-04-14;2024-09-11;AOPK ČR - RP Moravskoslezské;31;100;30;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0724089;Beskydy;Bombina variegata;1193;2022-04-14;2024-09-11;AOPK ČR - RP Moravskoslezské;32;95.24;30;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0724089;Beskydy;Bombina variegata;1193;2022-04-14;2024-09-11;AOPK ČR - RP Moravskoslezské;34;95.24;30;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0724089;Beskydy;Bombina variegata;1193;2022-04-14;2024-09-11;AOPK ČR - RP Moravskoslezské;35;71.43;30;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0724089;Beskydy;Bombina variegata;1193;2022-04-14;2024-09-11;AOPK ČR - RP Moravskoslezské;37;90.48;30;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0724089;Beskydy;Bombina variegata;1193;2022-04-14;2024-09-11;AOPK ČR - RP Moravskoslezské;38;100;30;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0724089;Beskydy;Bombina variegata;1193;2022-04-14;2024-09-11;AOPK ČR - RP Moravskoslezské;130;66.67;NA;% lokalit v dobrém stavu;nehodnocen;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0724089;Beskydy;Bombina variegata;1193;2022-04-14;2024-09-11;AOPK ČR - RP Moravskoslezské;131;21;NA;počet dílčích lokalit;nehodnocen;neznámý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0724089;Beskydy;Bombina variegata;1193;2022-04-14;2024-09-11;AOPK ČR - RP Moravskoslezské;10;NA;NA;hodnocení dílčích parametrů;dobrý;setrvalý;2025-07-28;RP Moravskoslezské;NA;19269
Druh;CZ0623772;Božický mokřad;Bombina bombina;1188;2022-06-10;2023-07-06;Krajský úřad Jihomoravského kraje;27;100;100;% lokalit v dobrém stavu;dobrý;neznámý;2025-07-28;RP Jižní Morava;NA;19269
