ROK;kod_chu;NAZEV;DRUH;SKUPINA;KOD_LOKAL;NAZEV_LOK;POLE;pracoviste;oop;HODNOCENE_OBDOBI_OD;HODNOCENE_OBDOBI_DO;ID_ND_AKCE;DATUM;CILMON;ID_IND;JEDNOTKA;TYP_IND;IND_GRP;KLIC;UROVEN;LIM_IND;LIM_INDLIST;HOD_IND;STAV_IND;ID_ND_LOK
2014;CZ0210027;Voděradské bučiny;Rhinolophus hipposideros;Letouni;NPR Voděradské bučiny;NPR Voděradské bučiny;15,"6054b";RP Střední Čechy;AOPK ČR - RP Střední Čechy;2014-05-20;2014-05-20;9140888;2014-05-20;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;dobrý;1;991635
2014;CZ0210027;Voděradské bučiny;Rhinolophus hipposideros;Letouni;NPR Voděradské bučiny;NPR Voděradské bučiny;15,"6054b";RP Střední Čechy;AOPK ČR - RP Střední Čechy;2014-05-20;2014-05-20;9140888;2014-05-20;0;CELKOVE_SUM;NA;NA;NA;NA;NA;;;1;NA;991635
2014;CZ0210027;Voděradské bučiny;Rhinolophus hipposideros;Letouni;NPR Voděradské bučiny;NPR Voděradské bučiny;15,"6054b";RP Střední Čechy;AOPK ČR - RP Střední Čechy;2014-05-20;2014-05-20;9140888;2014-05-20;0;POP_PRESENCE;přítomnost druhu;val;val;ano;lok;ano;ano;ano;1;991635
2014;CZ0210421;Mramor;Rhinolophus hipposideros;Letouni;Na Mramoru;Na Mramoru;6050d;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2011-01-22;2014-01-31;9371298;2014-01-31;1;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;dobrý;1;5668057
2014;CZ0210421;Mramor;Rhinolophus hipposideros;Letouni;Na Mramoru;Na Mramoru;6050d;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2011-01-22;2014-01-31;9371298;2014-01-31;1;CELKOVE_SUM;NA;NA;NA;NA;NA;;;1;NA;5668057
2014;CZ0210421;Mramor;Rhinolophus hipposideros;Letouni;Na Mramoru;Na Mramoru;6050d;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2011-01-22;2014-01-31;9371298;2014-01-31;1;POP_PRESENCE;přítomnost druhu;val;val;ano;lok;ano;ano;ano;1;5668057
2015;CZ0210421;Mramor;Rhinolophus hipposideros;Letouni;Na Mramoru - štola;Na Mramoru - štola;6050d;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2012-02-07;2015-02-06;9544997;2015-02-06;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;dobrý;1;5062715
2015;CZ0210421;Mramor;Rhinolophus hipposideros;Letouni;Na Mramoru - štola;Na Mramoru - štola;6050d;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2012-02-07;2015-02-06;9544997;2015-02-06;0;CELKOVE_SUM;NA;NA;NA;NA;NA;;;1;NA;5062715
2015;CZ0210421;Mramor;Rhinolophus hipposideros;Letouni;Na Mramoru - štola;Na Mramoru - štola;6050d;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2012-02-07;2015-02-06;9544997;2015-02-06;0;POP_PRESENCE;přítomnost druhu;val;val;ano;lok;ano;ano;ano;1;5062715
2015;CZ0210421;Mramor;Rhinolophus hipposideros;Letouni;jeskyně Na Mramoru;jeskyně Na Mramoru;6150b;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2008-02-01;2015-02-06;9173015;2015-02-06;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;dobrý;1;998643
2015;CZ0210421;Mramor;Rhinolophus hipposideros;Letouni;jeskyně Na Mramoru;jeskyně Na Mramoru;6150b;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2008-02-01;2015-02-06;9173015;2015-02-06;0;CELKOVE_SUM;NA;NA;NA;NA;NA;;;1;NA;998643
2015;CZ0210421;Mramor;Rhinolophus hipposideros;Letouni;jeskyně Na Mramoru;jeskyně Na Mramoru;6150b;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2008-02-01;2015-02-06;9173015;2015-02-06;0;POP_PRESENCE;přítomnost druhu;val;val;ano;lok;ano;ano;ano;1;998643
2015;CZ0213613;Malešov;Rhinolophus hipposideros;Letouni;Malešov;Malešov;6057c;RP Střední Čechy;Krajský úřad Středočeského kraje;2005-02-20;2015-02-11;9173818;2015-02-11;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;dobrý;1;5505163
2015;CZ0213613;Malešov;Rhinolophus hipposideros;Letouni;Malešov;Malešov;6057c;RP Střední Čechy;Krajský úřad Středočeského kraje;2005-02-20;2015-02-11;9173818;2015-02-11;0;CELKOVE_SUM;NA;NA;NA;NA;NA;;;1;NA;5505163
2015;CZ0213613;Malešov;Rhinolophus hipposideros;Letouni;Malešov;Malešov;6057c;RP Střední Čechy;Krajský úřad Středočeského kraje;2005-02-20;2015-02-11;9173818;2015-02-11;0;POP_PRESENCE;přítomnost druhu;val;val;ano;lok;ano;ano;ano;1;5505163
2025;CZ0213615;Štola Jarnice;Rhinolophus hipposideros;Letouni;Jarnice - štola;Jarnice - štola;6452a;RP Střední Čechy;Krajský úřad Středočeského kraje;2012-02-04;2025-01-25;15620446;2025-01-25;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;dobrý;1;5063510
2025;CZ0213615;Štola Jarnice;Rhinolophus hipposideros;Letouni;Jarnice - štola;Jarnice - štola;6452a;RP Střední Čechy;Krajský úřad Středočeského kraje;2012-02-04;2025-01-25;15620446;2025-01-25;0;CELKOVE_SUM;NA;NA;NA;NA;NA;;;1;NA;5063510
2025;CZ0213615;Štola Jarnice;Rhinolophus hipposideros;Letouni;Jarnice - štola;Jarnice - štola;6452a;RP Střední Čechy;Krajský úřad Středočeského kraje;2012-02-04;2025-01-25;15620446;2025-01-25;0;POP_PRESENCE;přítomnost druhu;val;val;ano;lok;ano;ano;ano;1;5063510
2026;CZ0213621;Štoly Velké Ameriky;Rhinolophus hipposideros;Letouni;Anděrova štola;Anděrova štola;6051a;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2007-02-05;2026-01-23;15546230;2026-01-23;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;dobrý;1;998560
2026;CZ0213621;Štoly Velké Ameriky;Rhinolophus hipposideros;Letouni;Anděrova štola;Anděrova štola;6051a;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2007-02-05;2026-01-23;15546230;2026-01-23;0;CELKOVE_SUM;NA;NA;NA;NA;NA;;;1;NA;998560
2026;CZ0213621;Štoly Velké Ameriky;Rhinolophus hipposideros;Letouni;Anděrova štola;Anděrova štola;6051a;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2007-02-05;2026-01-23;15546230;2026-01-23;0;POP_PRESENCE;přítomnost druhu;val;val;ano;lok;ano;ano;ano;1;998560
2026;CZ0213621;Štoly Velké Ameriky;Rhinolophus hipposideros;Letouni;Maršálkova štola;Maršálkova štola;6051a;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2007-02-05;2026-01-23;15546611;2026-01-23;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;dobrý;1;998557
2026;CZ0213621;Štoly Velké Ameriky;Rhinolophus hipposideros;Letouni;Maršálkova štola;Maršálkova štola;6051a;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2007-02-05;2026-01-23;15546611;2026-01-23;0;CELKOVE_SUM;NA;NA;NA;NA;NA;;;1;NA;998557
2026;CZ0213621;Štoly Velké Ameriky;Rhinolophus hipposideros;Letouni;Maršálkova štola;Maršálkova štola;6051a;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2007-02-05;2026-01-23;15546611;2026-01-23;0;POP_PRESENCE;přítomnost druhu;val;val;ano;lok;ano;ano;ano;1;998557
2026;CZ0213621;Štoly Velké Ameriky;Rhinolophus hipposideros;Letouni;Mořina - Gotická chodba v lomu Mexiko;Mořina - Gotická chodba v lomu Mexiko;6051a;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2020-01-31;2026-01-23;15546610;2026-01-23;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;dobrý;1;7284026
2026;CZ0213621;Štoly Velké Ameriky;Rhinolophus hipposideros;Letouni;Mořina - Gotická chodba v lomu Mexiko;Mořina - Gotická chodba v lomu Mexiko;6051a;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2020-01-31;2026-01-23;15546610;2026-01-23;0;CELKOVE_SUM;NA;NA;NA;NA;NA;;;1;NA;7284026
2026;CZ0213621;Štoly Velké Ameriky;Rhinolophus hipposideros;Letouni;Mořina - Gotická chodba v lomu Mexiko;Mořina - Gotická chodba v lomu Mexiko;6051a;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2020-01-31;2026-01-23;15546610;2026-01-23;0;POP_PRESENCE;přítomnost druhu;val;val;ano;lok;ano;ano;ano;1;7284026
2026;CZ0213621;Štoly Velké Ameriky;Rhinolophus hipposideros;Letouni;Mořina - Tichá štola - Velká Amerika;Mořina - Tichá štola - Velká Amerika;6051a;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2019-10-30;2026-01-22;15545588;2026-01-22;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;dobrý;1;7073126
2026;CZ0213621;Štoly Velké Ameriky;Rhinolophus hipposideros;Letouni;Mořina - Tichá štola - Velká Amerika;Mořina - Tichá štola - Velká Amerika;6051a;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2019-10-30;2026-01-22;15545588;2026-01-22;0;CELKOVE_SUM;NA;NA;NA;NA;NA;;;1;NA;7073126
2026;CZ0213621;Štoly Velké Ameriky;Rhinolophus hipposideros;Letouni;Mořina - Tichá štola - Velká Amerika;Mořina - Tichá štola - Velká Amerika;6051a;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2019-10-30;2026-01-22;15545588;2026-01-22;0;POP_PRESENCE;přítomnost druhu;val;val;ano;lok;ano;ano;ano;1;7073126
2016;CZ0213621;Štoly Velké Ameriky;Rhinolophus hipposideros;Letouni;Velká Amerika;Velká Amerika;6051a;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2000-01-26;2016-09-24;9778518;2016-09-24;0;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;dobrý;1;5902607
2016;CZ0213621;Štoly Velké Ameriky;Rhinolophus hipposideros;Letouni;Velká Amerika;Velká Amerika;6051a;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2000-01-26;2016-09-24;9778518;2016-09-24;0;CELKOVE_SUM;NA;NA;NA;NA;NA;;;1;NA;5902607
2016;CZ0213621;Štoly Velké Ameriky;Rhinolophus hipposideros;Letouni;Velká Amerika;Velká Amerika;6051a;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2000-01-26;2016-09-24;9778518;2016-09-24;0;POP_PRESENCE;přítomnost druhu;val;val;ano;lok;ano;ano;ano;1;5902607
2014;CZ0213621;Štoly Velké Ameriky;Rhinolophus hipposideros;Letouni;Zbytovského štola;Zbytovského štola;6051a;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2005-02-02;2026-01-22;9371423;2014-01-31;1;CELKOVE_HODNOCENI;NA;NA;NA;NA;lok;NA;NA;dobrý;1;5668100
2014;CZ0213621;Štoly Velké Ameriky;Rhinolophus hipposideros;Letouni;Zbytovského štola;Zbytovského štola;6051a;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2005-02-02;2026-01-22;9371423;2014-01-31;1;CELKOVE_SUM;NA;NA;NA;NA;NA;;;1;NA;5668100
2014;CZ0213621;Štoly Velké Ameriky;Rhinolophus hipposideros;Letouni;Zbytovského štola;Zbytovského štola;6051a;RP Střední Čechy;AOPK ČR - RP Střední Čechy;2005-02-02;2026-01-22;9371423;2014-01-31;1;POP_PRESENCE;přítomnost druhu;val;val;ano;lok;ano;ano;ano;1;5668100
