ROK;kod_chu;NAZEV;DRUH;SKUPINA;KOD_LOKAL;LOKALITA;pracoviste;oop;IDX_ND_AKCE;ID_ND_NALEZ;DATUM;AUTOR;ID_IND;JEDNOTKA;TYP_IND;IND_GRP;KLIC;UROVEN;LIM_IND;HOD_IND;STAV_IND;CESKE_JME;DATUM_OD;DATUM_DO;IDX_ND_LOK;KOD_LOKALITY;EVL;PROC_EVL;NEGATIVNI;IDX_ND_LOKALIZACE;MAX_PROC;POLE;DEN;MESIC;nazev_chu;CILMON;POCITANO_CLEAN;pozn;LIM_INDLIST
2012;CZ0214017;Karlštejn - Koda;Rhinolophus hipposideros;Letouni;Svatý Jan pod Skalou - jeskyně V kostele;Svatý Jan pod Skalou - jeskyně V kostele;RP Střední Čechy;AOPK ČR - RP Střední Čechy;5605676;15794723;2012-01-28;Veselý Jaroslav#Čapek Jan#Sedláček Daniel#Novák Jiří#Tenčík Aleš#Špryňar Pavel;CELKOVE_SUM;NA;NA;NA;NA;NA;NA;1;1;vrápenec malý;28.01.2012;28.01.2012;4944347;NA;CZ0214017: Karlštejn - Koda;100;0;4944347;100;6050b;28;1;Karlštejn - Koda;0;jedinci;NA;NA
2012;CZ0214017;Karlštejn - Koda;Rhinolophus hipposideros;Letouni;Svatý Jan pod Skalou - jeskyně V kostele;Svatý Jan pod Skalou - jeskyně V kostele;RP Střední Čechy;AOPK ČR - RP Střední Čechy;5605676;15794723;2012-01-28;Veselý Jaroslav#Čapek Jan#Sedláček Daniel#Novák Jiří#Tenčík Aleš#Špryňar Pavel;POP_PRESENCE;přítomnost druhu;val;val;ano;lok;ano;ano;1;vrápenec malý;28.01.2012;28.01.2012;4944347;NA;CZ0214017: Karlštejn - Koda;100;0;4944347;100;6050b;28;1;Karlštejn - Koda;0;jedinci;NA;ano
2012;CZ0424127;Východní Krušnohoří;Rhinolophus hipposideros;Letouni;Nové Město u Mikulova;Nové Město u Mikulova;RP SCHKO České středohoří;AOPK ČR - RP SCHKO České středohoří, Krajský úřad Ústeckého kraje;5605746;15794846;2012-01-26;Hejduk Jiří;CELKOVE_SUM;NA;NA;NA;NA;NA;NA;1;1;vrápenec malý;26.01.2012;26.01.2012;4944378;NA;CZ0424127: Východní Krušnohoří;100;0;4944378;100;5348a;26;1;Východní Krušnohoří;0;jedinci;NA;NA
2012;CZ0424127;Východní Krušnohoří;Rhinolophus hipposideros;Letouni;Nové Město u Mikulova;Nové Město u Mikulova;RP SCHKO České středohoří;AOPK ČR - RP SCHKO České středohoří, Krajský úřad Ústeckého kraje;5605746;15794846;2012-01-26;Hejduk Jiří;POP_PRESENCE;přítomnost druhu;val;val;ano;lok;ano;ano;1;vrápenec malý;26.01.2012;26.01.2012;4944378;NA;CZ0424127: Východní Krušnohoří;100;0;4944378;100;5348a;26;1;Východní Krušnohoří;0;jedinci;NA;ano
2012;CZ0424127;Východní Krušnohoří;Rhinolophus hipposideros;Letouni;Nové Město u Mikulova;Nové Město u Mikulova;RP SCHKO České středohoří;AOPK ČR - RP SCHKO České středohoří, Krajský úřad Ústeckého kraje;5605747;15794847;2012-01-26;Hejduk Jiří;CELKOVE_SUM;NA;NA;NA;NA;NA;NA;1;1;vrápenec malý;26.01.2012;26.01.2012;4944378;NA;CZ0424127: Východní Krušnohoří;100;0;4944378;100;5348a;26;1;Východní Krušnohoří;0;jedinci;NA;NA
2012;CZ0424127;Východní Krušnohoří;Rhinolophus hipposideros;Letouni;Nové Město u Mikulova;Nové Město u Mikulova;RP SCHKO České středohoří;AOPK ČR - RP SCHKO České středohoří, Krajský úřad Ústeckého kraje;5605747;15794847;2012-01-26;Hejduk Jiří;POP_PRESENCE;přítomnost druhu;val;val;ano;lok;ano;ano;1;vrápenec malý;26.01.2012;26.01.2012;4944378;NA;CZ0424127: Východní Krušnohoří;100;0;4944378;100;5348a;26;1;Východní Krušnohoří;0;jedinci;NA;ano
2012;CZ0424127;Východní Krušnohoří;Rhinolophus hipposideros;Letouni;Osek - štola "Pod Stropníkem" (S od zast. ČD);Osek - štola "Pod Stropníkem" (S od zast. ČD);RP SCHKO České středohoří;AOPK ČR - RP SCHKO České středohoří, Krajský úřad Ústeckého kraje;5610870;15803184;2012-01-05;Vlček Roman#Chvátal Petr;CELKOVE_SUM;NA;NA;NA;NA;NA;NA;1;1;vrápenec malý;05.01.2012;05.01.2012;1258636;NA;CZ0424127: Východní Krušnohoří;100;0;1258636;100;5348c;5;1;Východní Krušnohoří;0;jedinci;NA;NA
2012;CZ0424127;Východní Krušnohoří;Rhinolophus hipposideros;Letouni;Osek - štola "Pod Stropníkem" (S od zast. ČD);Osek - štola "Pod Stropníkem" (S od zast. ČD);RP SCHKO České středohoří;AOPK ČR - RP SCHKO České středohoří, Krajský úřad Ústeckého kraje;5610870;15803184;2012-01-05;Vlček Roman#Chvátal Petr;POP_PRESENCE;přítomnost druhu;val;val;ano;lok;ano;ano;1;vrápenec malý;05.01.2012;05.01.2012;1258636;NA;CZ0424127: Východní Krušnohoří;100;0;1258636;100;5348c;5;1;Východní Krušnohoří;0;jedinci;NA;ano
2012;CZ0424127;Východní Krušnohoří;Rhinolophus hipposideros;Letouni;Dlouhá Louka - štola, J od obce (u silnice na Osek);Dlouhá Louka - štola, J od obce (u silnice na Osek);RP SCHKO České středohoří;AOPK ČR - RP SCHKO České středohoří, Krajský úřad Ústeckého kraje;5610874;15803188;2012-01-06;Chvátal Petr#Hejduk Jiří;CELKOVE_SUM;NA;NA;NA;NA;NA;NA;1;1;vrápenec malý;06.01.2012;06.01.2012;1256372;NA;CZ0424127: Východní Krušnohoří;100;0;1256372;100;5347d;6;1;Východní Krušnohoří;0;jedinci;NA;NA
2012;CZ0424127;Východní Krušnohoří;Rhinolophus hipposideros;Letouni;Dlouhá Louka - štola, J od obce (u silnice na Osek);Dlouhá Louka - štola, J od obce (u silnice na Osek);RP SCHKO České středohoří;AOPK ČR - RP SCHKO České středohoří, Krajský úřad Ústeckého kraje;5610874;15803188;2012-01-06;Chvátal Petr#Hejduk Jiří;POP_PRESENCE;přítomnost druhu;val;val;ano;lok;ano;ano;1;vrápenec malý;06.01.2012;06.01.2012;1256372;NA;CZ0424127: Východní Krušnohoří;100;0;1256372;100;5347d;6;1;Východní Krušnohoří;0;jedinci;NA;ano
