"typ_predmetu_hodnoceni","kod_chu","nazev_chu","druh","feature_code","datum_hodnoceni_od","datum_hodnoceni_do","parametr_nazev","parametr_hodnota","parametr_limit","parametr_jednotka","stav","trend","datum_hodnoceni","oop","pracoviste","poznamka","Poznámka"
"Stanovištì","CZ0414127","Hradištì","Pøirozené eutrofní vodní nádrže s vegetací typu Magnopotamion nebo Hydrocharition","3150","2001-09-09","2024-06-13",128,"28,9072",29.39,"hektary",13,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les","VMB2",NA
"Stanovištì","CZ0414127","Hradištì","Pøirozené eutrofní vodní nádrže s vegetací typu Magnopotamion nebo Hydrocharition","3150","2001-09-09","2024-06-13",129,"1,8316",1.9,"140",11,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les","VMB2",NA
"Stanovištì","CZ0414127","Hradištì","Pøirozené eutrofní vodní nádrže s vegetací typu Magnopotamion nebo Hydrocharition","3150","2001-09-09","2024-06-13",132,"2,2068",NA,"140",NA,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les",NA,NA
"Stanovištì","CZ0414127","Hradištì","Pøirozené eutrofní vodní nádrže s vegetací typu Magnopotamion nebo Hydrocharition","3150","2001-09-09","2024-06-13",162,NA,NA,"140",NA,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les",NA,NA
"Stanovištì","CZ0414127","Hradištì","Pøirozené eutrofní vodní nádrže s vegetací typu Magnopotamion nebo Hydrocharition","3150","2001-09-09","2024-06-13",136,"10",NA,"druhy èerveného seznamu",NA,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les",NA,NA
"Stanovištì","CZ0414127","Hradištì","Pøirozené eutrofní vodní nádrže s vegetací typu Magnopotamion nebo Hydrocharition","3150","2001-09-09","2024-06-13",137,"94,6348",NA,"% rozlohy zasažené invazními druhy",NA,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les",NA,NA
"Stanovištì","CZ0414127","Hradištì","Pøirozené eutrofní vodní nádrže s vegetací typu Magnopotamion nebo Hydrocharition","3150","2001-09-09","2024-06-13",138,"20,1169",NA,"% rozlohy zasažené expanzivními druhy",NA,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les",NA,NA
"Stanovištì","CZ0414127","Hradištì","Pøirozené eutrofní vodní nádrže s vegetací typu Magnopotamion nebo Hydrocharition","3150","2001-09-09","2024-06-13",133,"100",NA,"% rozlohy v celistvém uspoøádání splòující hodnotu minimiareálu",NA,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les",NA,NA
"Stanovištì","CZ0414127","Hradištì","Pøirozené eutrofní vodní nádrže s vegetací typu Magnopotamion nebo Hydrocharition","3150","2001-09-09","2024-06-13",135,"86,0285",NA,"% hranice s nepøírodními biotopy",NA,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les",NA,NA
"Stanovištì","CZ0414127","Hradištì","Pøirozené eutrofní vodní nádrže s vegetací typu Magnopotamion nebo Hydrocharition","3150","2001-09-09","2024-06-13",134,"98,4461",NA,"zastoupení nepøírodních biotopù v segmentech stanovištì",NA,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les",NA,NA
"Stanovištì","CZ0414127","Hradištì","Kontinentální opadavé køoviny","40A0","2001-09-08","2022-06-28",128,"6,3558",0.4,"hektary",11,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les","SDF",NA
"Stanovištì","CZ0414127","Hradištì","Kontinentální opadavé køoviny","40A0","2001-09-08","2022-06-28",129,"2,9249",2,"140",13,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les","MINIMI",NA
"Stanovištì","CZ0414127","Hradištì","Kontinentální opadavé køoviny","40A0","2001-09-08","2022-06-28",132,"1,9999",NA,"140",NA,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les",NA,NA
"Stanovištì","CZ0414127","Hradištì","Kontinentální opadavé køoviny","40A0","2001-09-08","2022-06-28",162,NA,NA,"140",NA,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les",NA,NA
"Stanovištì","CZ0414127","Hradištì","Kontinentální opadavé køoviny","40A0","2001-09-08","2022-06-28",136,"2,8934",NA,"druhy èerveného seznamu",NA,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les",NA,NA
"Stanovištì","CZ0414127","Hradištì","Kontinentální opadavé køoviny","40A0","2001-09-08","2022-06-28",137,"99,9767",NA,"% rozlohy zasažené invazními druhy",NA,1,"2026-09-18","Krajský úøad Ústeckého kraje, Újezdní úøad Hradištì, Krajský úøad Karlovarského kraje, AOPK ÈR - RP SCHKO Slavkovský les","RP SCHKO Slavkovský les",NA,NA
