.target_id;SITECODE;HABITAT_CODE;status;elapsed_sec;error_message
1;CZ0520519;7140;ok;8,54113101959229e-02;
2;CZ0520519;8220;ok;3,15308570861816e-03;
3;CZ0520519;8310;ok;2,94423103332520e-03;
4;CZ0520519;9110;ok;7,29741573333740e+00;
5;CZ0520519;9410;ok;5,46438336372375e+00;
6;CZ0520519;91D0;ok;3,84879374504089e+00;
7;CZ0214005;6410;ok;2,49481201171875e-03;
8;CZ0214005;6430;ok;2,46286392211914e-03;
9;CZ0214005;6510;ok;2,41565704345703e-03;
10;CZ0214005;9170;ok;4,83603549003601e+00;
11;CZ0214005;9180;ok;2,33185696601868e+00;
12;CZ0214005;91E0;ok;3,60931730270386e+00;
13;CZ0534051;6210;ok;2,62522697448730e-03;
14;CZ0534051;6510;ok;2,43139266967773e-03;
15;CZ0534051;91E0;ok;3,22784233093262e+00;
16;CZ0610175;9110;ok;4,42075777053833e+00;
17;CZ0720013;6210;ok;2,59447097778320e-03;
18;CZ0720013;6510;ok;2,54249572753906e-03;
19;CZ0720013;91I0;ok;9,04814481735229e-01;
20;CZ0520028;7220;ok;2,64310836791992e-03;
21;CZ0520028;8210;ok;2,53915786743164e-03;
22;CZ0520028;9180;ok;1,80647921562195e+00;
23;CZ0424034;6410;ok;3,00669670104980e-03;
24;CZ0424034;6430;ok;2,97808647155762e-03;
25;CZ0424034;6510;ok;2,90131568908691e-03;
26;CZ0410404;3150;ok;2,89630889892578e-03;
27;CZ0410404;3160;ok;2,88844108581543e-03;
28;CZ0410404;7140;ok;3,04603576660156e-03;
29;CZ0410404;9410;ok;2,08558630943298e+00;
30;CZ0714082;9170;ok;5,38905262947083e+00;
31;CZ0714082;91F0;ok;2,02647852897644e+00;
32;CZ0323142;3260;ok;2,43830680847168e-03;
33;CZ0724089;3220;ok;2,35819816589355e-03;
34;CZ0724089;3240;ok;2,41398811340332e-03;
35;CZ0724089;5130;ok;2,45189666748047e-03;
36;CZ0724089;6210;ok;2,38490104675293e-03;
37;CZ0724089;6230;ok;2,37083435058594e-03;
38;CZ0724089;6430;ok;2,39896774291992e-03;
39;CZ0724089;6510;ok;2,37393379211426e-03;
40;CZ0724089;7220;ok;2,39634513854980e-03;
41;CZ0724089;7230;ok;2,38704681396484e-03;
42;CZ0724089;8220;ok;2,35295295715332e-03;
43;CZ0724089;8310;ok;2,36439704895020e-03;
44;CZ0724089;9110;ok;3,57238800525665e+02;
45;CZ0724089;9130;ok;3,43349688053131e+02;
46;CZ0724089;9140;ok;2,99852498531342e+02;
47;CZ0724089;9170;ok;3,13665457725525e+02;
48;CZ0724089;9180;ok;3,15558511972427e+02;
49;CZ0724089;9410;ok;3,08523668766022e+02;
50;CZ0724089;91E0;ok;3,11530478239059e+02;
51;CZ0424036;6210;ok;3,00335884094238e-03;
52;CZ0424036;91H0;ok;7,81500816345215e-01;
53;CZ0620001;6240;ok;2,64739990234375e-03;
54;CZ0424030;8220;ok;2,54368782043457e-03;
55;CZ0424030;9110;ok;5,99226069450378e+00;
56;CZ0424030;9130;ok;3,92934393882751e+00;
57;CZ0424030;9180;ok;2,95674824714661e+00;
58;CZ0424030;91E0;ok;4,17743301391602e+00;
59;CZ0724090;3140;ok;2,66361236572266e-03;
60;CZ0724090;6210;ok;2,66718864440918e-03;
61;CZ0724090;6230;ok;2,64596939086914e-03;
62;CZ0724090;6410;ok;2,65145301818848e-03;
63;CZ0724090;6430;ok;2,84314155578613e-03;
64;CZ0724090;6510;ok;3,17287445068359e-03;
65;CZ0724090;7220;ok;3,55029106140137e-03;
66;CZ0724090;7230;ok;3,79657745361328e-03;
67;CZ0724090;9110;ok;5,96567857265472e+01;
68;CZ0724090;9130;ok;7,74320917129517e+01;
69;CZ0724090;9170;ok;6,96092984676361e+01;
70;CZ0724090;9180;ok;5,73354251384735e+01;
71;CZ0724090;6210p;ok;5,27024269104004e-03;
72;CZ0724090;91E0;ok;6,07636430263519e+01;
73;CZ0724090;91G0;ok;5,85919857025146e+01;
74;CZ0724090;91I0;ok;5,74877481460571e+01;
75;CZ0720441;6210;ok;7,00306892395020e-03;
76;CZ0720441;6510;ok;6,26754760742188e-03;
77;CZ0720441;7220;ok;5,65838813781738e-03;
78;CZ0720441;9130;ok;3,72809648513794e+00;
79;CZ0720441;9170;ok;5,31964159011841e+00;
80;CZ0720441;6210p;ok;2,81834602355957e-03;
81;CZ0424129;6210;ok;2,73394584655762e-03;
82;CZ0424129;8230;ok;3,12733650207520e-03;
83;CZ0424129;6210p;ok;3,31664085388184e-03;
84;CZ0424129;91E0;ok;3,50583887100220e+00;
85;CZ0424135;6210;ok;2,81262397766113e-03;
86;CZ0424135;6210p;ok;2,79831886291504e-03;
87;CZ0210100;7220;ok;2,67887115478516e-03;
88;CZ0210100;9150;ok;7,71722078323364e-01;
89;CZ0210100;91E0;ok;3,15264129638672e+00;
90;CZ0623035;6250;ok;2,69722938537598e-03;
91;CZ0510441;6510;ok;2,62999534606934e-03;
92;CZ0510441;8220;ok;2,56896018981934e-03;
93;CZ0510441;9170;ok;5,45610928535461e+00;
94;CZ0510441;9180;ok;2,36025190353394e+00;
95;CZ0510441;91E0;ok;3,39885330200195e+00;
96;CZ0510441;91I0;ok;1,72746491432190e+00;
97;CZ0310629;3140;ok;4,70423698425293e-03;
98;CZ0310629;3160;ok;3,42249870300293e-03;
99;CZ0314124;3260;ok;4,73380088806152e-03;
100;CZ0314124;6190;ok;5,56635856628418e-03;
101;CZ0314124;6210;ok;5,37323951721191e-03;
102;CZ0314124;6410;ok;5,13219833374023e-03;
103;CZ0314124;6510;ok;5,17129898071289e-03;
104;CZ0314124;8220;ok;5,04732131958008e-03;
105;CZ0314124;9110;ok;2,57022559642792e+01;
106;CZ0314124;9130;ok;2,57156088352203e+01;
107;CZ0314124;9170;ok;2,24572393894196e+01;
108;CZ0314124;9180;ok;1,98790297508240e+01;
109;CZ0314124;6210p;ok;3,93438339233398e-03;
110;CZ0314124;91U0;ok;1,83014779090881e+01;
111;CZ0110142;6410;ok;3,31211090087891e-03;
112;CZ0110142;9170;ok;4,56608653068542e+00;
113;CZ0110142;9190;ok;1,27787137031555e+00;
114;CZ0410023;3150;ok;2,97260284423828e-03;
115;CZ0410023;4030;ok;2,98094749450684e-03;
116;CZ0410023;6410;ok;3,00860404968262e-03;
117;CZ0410023;6430;ok;3,12280654907227e-03;
118;CZ0410023;7140;ok;2,88248062133789e-03;
119;CZ0623324;3260;ok;2,99811363220215e-03;
120;CZ0530033;6210;ok;3,07011604309082e-03;
121;CZ0530033;6510;ok;2,95114517211914e-03;
122;CZ0530033;9110;ok;5,63878989219666e+00;
123;CZ0530033;9130;ok;3,99801564216614e+00;
124;CZ0420451;6210;ok;5,03134727478027e-03;
125;CZ0420451;6410;ok;4,94241714477539e-03;
126;CZ0420451;6510;ok;5,05328178405762e-03;
127;CZ0420451;8220;ok;4,63509559631348e-03;
128;CZ0420451;9170;ok;5,34839010238647e+00;
129;CZ0420451;9180;ok;2,04249930381775e+00;
130;CZ0420451;6210p;ok;2,83956527709961e-03;
131;CZ0420451;91E0;ok;3,62291908264160e+00;
132;CZ0314123;3150;ok;2,73704528808594e-03;
133;CZ0314123;6230;ok;2,69055366516113e-03;
134;CZ0314123;6410;ok;2,63762474060059e-03;
135;CZ0314123;6430;ok;2,79855728149414e-03;
136;CZ0314123;6510;ok;2,69269943237305e-03;
137;CZ0314123;7120;ok;2,66051292419434e-03;
138;CZ0314123;7140;ok;2,66551971435547e-03;
139;CZ0314123;8220;ok;2,67863273620605e-03;
140;CZ0314123;9110;ok;3,02390677928925e+01;
141;CZ0314123;9130;ok;2,93204810619354e+01;
142;CZ0314123;9180;ok;2,37464056015015e+01;
143;CZ0314123;91E0;ok;2,60564835071564e+01;
144;CZ0422075;6210;ok;2,72703170776367e-03;
145;CZ0422075;6510;ok;2,73728370666504e-03;
146;CZ0422075;8220;ok;2,67982482910156e-03;
147;CZ0422075;40A0;ok;2,68983840942383e-03;
148;CZ0314021;3160;ok;2,65216827392578e-03;
149;CZ0314021;6410;ok;2,62331962585449e-03;
150;CZ0314021;7140;ok;2,62856483459473e-03;
151;CZ0314021;91D0;ok;1,32975077629089e+00;
152;CZ0314021;91T0;ok;5,06073713302612e-01;
153;CZ0420026;6190;ok;2,68077850341797e-03;
154;CZ0420026;8150;ok;2,79164314270020e-03;
155;CZ0420026;8220;ok;2,63571739196777e-03;
156;CZ0420026;9180;ok;2,04868650436401e+00;
157;CZ0420026;40A0;ok;6,43992424011230e-03;
158;CZ0624094;9170;ok;4,65916347503662e+00;
159;CZ0533296;3140;ok;3,84569168090820e-03;
160;CZ0623798;91E0;ok;3,30112719535828e+00;
161;CZ0530501;8210;ok;2,87008285522461e-03;
162;CZ0530501;9130;ok;4,23957681655884e+00;
163;CZ0530501;9180;ok;2,26846528053284e+00;
164;CZ0710505;40A0;ok;2,84671783447266e-03;
165;CZ0214047;4030;ok;2,84481048583984e-03;
166;CZ0214047;7140;ok;2,92778015136719e-03;
167;CZ0214047;91D0;ok;1,10061645507812e+00;
168;CZ0520518;4030;ok;3,01814079284668e-03;
169;CZ0520518;8220;ok;2,96831130981445e-03;
170;CZ0520518;8310;ok;2,92015075683594e-03;
171;CZ0520518;9110;ok;8,99338412284851e+00;
172;CZ0520518;9130;ok;7,20620679855347e+00;
173;CZ0520178;6510;ok;4,58455085754395e-03;
174;CZ0520178;9110;ok;4,29655742645264e+00;
175;CZ0520178;9130;ok;3,16667461395264e+00;
176;CZ0520178;91E0;ok;3,81421542167664e+00;
177;CZ0212001;3130;ok;5,28788566589355e-03;
178;CZ0623004;91E0;ok;3,25451207160950e+00;
179;CZ0510405;6230;ok;2,94470787048340e-03;
180;CZ0510405;6430;ok;2,86126136779785e-03;
181;CZ0510405;7140;ok;2,83169746398926e-03;
182;CZ0510405;9130;ok;3,19976019859314e+00;
183;CZ0510405;9140;ok;9,17677879333496e-01;
184;CZ0510405;9180;ok;2,19964122772217e+00;
185;CZ0510405;9410;ok;2,43526244163513e+00;
186;CZ0510405;91D0;ok;1,20696806907654e+00;
187;CZ0413177;3160;ok;2,69317626953125e-03;
188;CZ0413177;6430;ok;2,71391868591309e-03;
189;CZ0524048;7230;ok;2,73036956787109e-03;
190;CZ0620073;2330;ok;2,65789031982422e-03;
191;CZ0620194;8220;ok;2,72798538208008e-03;
192;CZ0620194;9180;ok;1,93621730804443e+00;
193;CZ0320023;6110;ok;3,58939170837402e-03;
194;CZ0320023;9150;ok;8,44704627990723e-01;
195;CZ0320023;91U0;ok;7,83817291259766e-01;
196;CZ0320180;6410;ok;2,60853767395020e-03;
197;CZ0320180;7140;ok;2,62856483459473e-03;
198;CZ0320180;9110;ok;6,25449061393738e+00;
199;CZ0320180;9130;ok;3,66486763954163e+00;
200;CZ0320180;9180;ok;2,14413332939148e+00;
201;CZ0320180;9190;ok;1,32783269882202e+00;
202;CZ0320180;9410;ok;2,97489929199219e+00;
203;CZ0320180;91D0;ok;1,25320315361023e+00;
204;CZ0624062;6210;ok;3,83615493774414e-03;
205;CZ0624062;91G0;ok;1,08541297912598e+00;
206;CZ0624062;91I0;ok;9,22162294387817e-01;
207;CZ0534050;3150;ok;2,84433364868164e-03;
