.target_id;SITECODE;HABITAT_CODE;REGION_ID;PAIR;DATUM_OLD;DATUM_NEW;PAIR_PRIORITY
4;CZ0520519;9110;CZ0474;VMB1_VMB2;2003-07-22;2018-11-24;2
4;CZ0520519;9110;CZ3190;VMB1_VMB2;2005-10-03;2018-08-30;2
5;CZ0520519;9410;CZ0474;VMB1_VMB2;2005-10-03;2018-11-24;2
6;CZ0520519;91D0;CZ0474;VMB1_VMB2;2003-07-23;2018-11-24;2
10;CZ0214005;9170;CZ0181;VMB2_VMB0;2007-11-30;2024-05-14;1
10;CZ0214005;9170;CZ2545;VMB1_VMB2;2002-05-14;2019-07-10;2
11;CZ0214005;9180;CZ0181;VMB2_VMB0;2007-10-28;2024-04-05;1
12;CZ0214005;91E0;CZ0181;VMB2_VMB0;2007-11-30;2024-05-14;1
12;CZ0214005;91E0;CZ2545;VMB1_VMB2;2002-05-14;2019-07-10;2
15;CZ0534051;91E0;CZ0762;VMB2_VMB0;2008-07-17;2022-07-15;1
16;CZ0610175;9110;CZ0664;VMB1_VMB2;2002-06-03;2011-09-06;2
19;CZ0720013;91I0;CZ1077;VMB1_VMB2;2001-06-18;2012-06-06;2
19;CZ0720013;91I0;CZ1092;VMB1_VMB2;2001-06-18;2013-06-27;2
22;CZ0520028;9180;CZ0875;VMB1_VMB2;2001-08-11;2015-08-18;2
29;CZ0410404;9410;CZ3000;VMB1_VMB2;2002-09-20;2014-04-17;2
30;CZ0714082;9170;CZ0629;VMB2_VMB0;2008-08-05;2022-05-17;1
30;CZ0714082;9170;CZ0641;VMB1_VMB2;2001-07-08;2008-06-07;2
31;CZ0714082;91F0;CZ0629;VMB2_VMB0;2008-08-06;2022-05-17;1
31;CZ0714082;91F0;CZ0641;VMB2_VMB0;2008-06-06;2023-05-27;1
31;CZ0714082;91F0;CZ1667;VMB1_VMB2;2001-07-23;2012-09-01;2
31;CZ0714082;91F0;CZ1687;VMB1_VMB2;2004-08-12;2010-09-10;2
44;CZ0724089;9110;CZ0103;VMB1_VMB2;2003-11-19;2018-09-26;2
44;CZ0724089;9110;CZ0104;VMB1_VMB2;2004-07-25;2015-05-13;2
44;CZ0724089;9110;CZ0268;VMB1_VMB2;2003-10-28;2011-07-16;2
44;CZ0724089;9110;CZ0269;VMB2_VMB0;2007-08-28;2022-09-10;1
44;CZ0724089;9110;CZ0270;VMB2_VMB0;2007-10-18;2024-10-03;1
44;CZ0724089;9110;CZ0271;VMB1_VMB2;2003-09-21;2011-08-06;2
44;CZ0724089;9110;CZ0272;VMB1_VMB2;2005-10-20;2012-06-24;2
44;CZ0724089;9110;CZ0273;VMB1_VMB2;2005-10-20;2017-08-31;2
44;CZ0724089;9110;CZ0274;VMB2_VMB0;2010-07-01;2024-07-06;1
44;CZ0724089;9110;CZ0275;VMB1_VMB2;2001-10-23;2019-08-21;2
44;CZ0724089;9110;CZ0276;VMB2_VMB0;2010-09-30;2024-09-02;1
44;CZ0724089;9110;CZ0620;VMB1_VMB2;2003-10-17;2013-10-25;2
44;CZ0724089;9110;CZ0621;VMB2_VMB0;2008-08-26;2022-09-07;1
44;CZ0724089;9110;CZ0634;VMB2_VMB0;2017-05-17;2023-10-15;1
44;CZ0724089;9110;CZ1284;VMB1_VMB2;2003-10-26;2015-09-18;2
44;CZ0724089;9110;CZ1288;VMB1_VMB2;2003-07-28;2015-09-23;2
44;CZ0724089;9110;CZ1338;VMB1_VMB2;2003-06-15;2015-10-01;2
44;CZ0724089;9110;CZ1345;VMB1_VMB2;2002-05-16;2018-08-27;2
44;CZ0724089;9110;CZ1374;VMB1_VMB2;2001-10-29;2019-08-29;2
44;CZ0724089;9110;CZ1386;VMB1_VMB2;2001-10-04;2011-09-15;2
