"SITECODE";"NAZEV";"HABITAT_CODE";"DATE_MIN";"DATE_MAX";"PAR_NAZEV";"PAR_HODNOTA";"ROK_HODNOCENI"
"CZ0414127";"Hradištì";"3150";2001-09-09;2024-06-13;".target_id";"1";2026
"CZ0414127";"Hradištì";"3150";2001-09-09;2024-06-13;"ROZLOHA";"28.907";2026
"CZ0414127";"Hradištì";"3150";2001-09-09;2024-06-13;"KVALITA";"1.832";2026
"CZ0414127";"Hradištì";"3150";2001-09-09;2024-06-13;"TYPICKE_DRUHY";"2.207";2026
"CZ0414127";"Hradištì";"3150";2001-09-09;2024-06-13;"REPRE";"1.771";2026
"CZ0414127";"Hradištì";"3150";2001-09-09;2024-06-13;"REPRE_SDF";"2.434";2026
"CZ0414127";"Hradištì";"3150";2001-09-09;2024-06-13;"CONSERVATION";"2.074";2026
"CZ0414127";"Hradištì";"3150";2001-09-09;2024-06-13;"DEGREE_OF_CONSERVATION";"76.661";2026
"CZ0414127";"Hradištì";"3150";2001-09-09;2024-06-13;"MRTVE_DREVO";NA;2026
"CZ0414127";"Hradištì";"3150";2001-09-09;2024-06-13;"KALAMITA_POLOM";NA;2026
"CZ0414127";"Hradištì";"3150";2001-09-09;2024-06-13;"RELATIVE_AREA_PERC";"0.439";2026
"CZ0414127";"Hradištì";"3150";2001-09-09;2024-06-13;"SITE_AREA_PERC";"0.087";2026
"CZ0414127";"Hradištì";"3150";2001-09-09;2024-06-13;"GOOD_DOC_AREA_HA";"22.16";2026
"CZ0414127";"Hradištì";"3150";2001-09-09;2024-06-13;"W_AREA_HA";"0";2026
"CZ0414127";"Hradištì";"3150";2001-09-09;2024-06-13;"W_AREA_PERC";"0";2026
"CZ0414127";"Hradištì";"3150";2001-09-09;2024-06-13;"PASEKY_AREA_HA";NA;2026
"CZ0414127";"Hradištì";"3150";2001-09-09;2024-06-13;"PASEKY_AREA_PERC";NA;2026
"CZ0414127";"Hradištì";"3150";2001-09-09;2024-06-13;"DEGRAD_AREA_HA";"0";2026
"CZ0414127";"Hradištì";"3150";2001-09-09;2024-06-13;"DEGRAD_AREA_PERC";"0";2026
"CZ0414127";"Hradištì";"3150";2001-09-09;2024-06-13;"PERC_0";"0";2026
"CZ0414127";"Hradištì";"3150";2001-09-09;2024-06-13;"PERC_1";"32.674";2026
"CZ0414127";"Hradištì";"3150";2001-09-09;2024-06-13;"PERC_2";"67.326";2026
"CZ0414127";"Hradištì";"3150";2001-09-09;2024-06-13;"RED_LIST";"10";2026
"CZ0414127";"Hradištì";"3150";2001-09-09;2024-06-13;"INVASIVE";"94.635";2026
"CZ0414127";"Hradištì";"3150";2001-09-09;2024-06-13;"EXPANSIVE";"20.117";2026
